,ARCT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),8.48,45.03,Valuation,0.18831889851210304
Price/Book (MRQ),3.0,12.61,Valuation,0.2379064234734338
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-2.8528,-4.7459,Profitability,0.6011083250805959
Net Profit Margin (TTM),-2.8478,-4.5467,Profitability,0.6263443816394307
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.6329,-0.0014000000000000002,Gowth rates,452.0714285714285
EPS Growth (TTM),0.2615,0.027200000000000002,Gowth rates,9.613970588235293
Revenue Growth (MRQ),-0.5065999999999999,1.3963999999999999,Gowth rates,-0.3627900315095961
Revenue Growth (TTM),4.8503,0.9747,Gowth rates,4.976197804452652
Return On Equity (TTM),-0.7245999999999999,0.1967,Effectiveness,-3.6837824097610565
Return On Assets (TTM),-0.40280000000000005,0.0016,Effectiveness,-251.75000000000003
Return On Investment (TTM),-0.5492,0.0219,Effectiveness,-25.077625570776256
Revenue Per Employee (TTM),290960.0,1476201.0,Effectiveness,0.19710053034783204
Total Debt/Total Capital (MRQ),0.2908,0.4675,Financial strength,0.6220320855614972
Change in Debt/Total Capital Quarter over Quarter,0.0045000000000000005,0.0036,Financial strength,1.2500000000000002
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
