,OSK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",67.95,24.01,Valuation,2.830070803831737
Price/Sales (TTM),0.77,3.06,Valuation,0.25163398692810457
Price/Book (MRQ),2.1,7.44,Valuation,0.282258064516129
"PEG Ratio (TTM, GAAP)",4.61,1.49,Valuation,3.0939597315436242
Gross Profit Margin (TTM),0.1133,0.32799999999999996,Profitability,0.3454268292682927
Operating Profit Margin (TTM),0.0285,0.0198,Profitability,1.4393939393939392
Net Profit Margin (TTM),0.0117,-0.0086,Profitability,-1.3604651162790697
Annual Dividend Yield,0.0159,0.0143,Dividend,1.1118881118881119
Dividend Change %,,0.1666,Dividend,
"Dividend Growth Rate, 3 Years",,0.0885,Dividend,
EPS Growth (MRQ),1.2124,0.3518,Gowth rates,3.446276293348493
EPS Growth (TTM),-0.7992,0.16149999999999998,Gowth rates,-4.9486068111455115
Revenue Growth (MRQ),0.0003,0.196,Gowth rates,0.0015306122448979589
Revenue Growth (TTM),0.0172,0.1475,Gowth rates,0.11661016949152543
Return On Equity (TTM),0.0294,0.2859,Effectiveness,0.10283315844700945
Return On Assets (TTM),0.013300000000000001,0.0851,Effectiveness,0.15628672150411282
Return On Investment (TTM),0.0195,0.12490000000000001,Effectiveness,0.15612489991993594
Revenue Per Employee (TTM),,343373.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.1729,0.6352000000000001,Financial strength,0.27219773299748107
Change in Debt/Total Capital Quarter over Quarter,-0.0029,0.0189,Financial strength,-0.15343915343915343
Quick Ratio (MRQ),1.08,1.07,Financial strength,1.0093457943925235
Interest Coverage (MRQ),10.04,20.9,Financial strength,0.4803827751196172
