,BNGO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),25.46,6.06,Valuation,4.201320132013202
Price/Book (MRQ),2.34,6.22,Valuation,0.3762057877813505
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.16920000000000002,0.5095000000000001,Profitability,0.332090284592738
Operating Profit Margin (TTM),-4.7493,0.0332,Profitability,-143.0512048192771
Net Profit Margin (TTM),-4.514200000000001,-0.0454,Profitability,99.43171806167402
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),0.025,-0.5094,Gowth rates,-0.04907734589713389
EPS Growth (TTM),-0.6096,-0.2377,Gowth rates,2.5645771981489274
Revenue Growth (MRQ),0.08259999999999999,0.1691,Gowth rates,0.488468361916026
Revenue Growth (TTM),0.6522,0.1222,Gowth rates,5.3371522094926345
Return On Equity (TTM),-0.375,1.1042,Effectiveness,-0.3396123890599529
Return On Assets (TTM),-0.342,0.0644,Effectiveness,-5.3105590062111805
Return On Investment (TTM),-0.3697,0.0802,Effectiveness,-4.609725685785536
Revenue Per Employee (TTM),86585.0,335561.0,Effectiveness,0.2580305816230134
Total Debt/Total Capital (MRQ),0.013700000000000002,0.3893,Financial strength,0.035191369124068846
Change in Debt/Total Capital Quarter over Quarter,,0.0252,Financial strength,
Quick Ratio (MRQ),5.77,1.51,Financial strength,3.821192052980132
Interest Coverage (MRQ),,33.07,Financial strength,
