,BNGO
% Above Low,0.9138
% Held by Institutions,0.2552
52-Wk Range,['1.16 - 4.35']
Annual Dividend $,
Annual Dividend %,
Ask,2.25
Ask Size,100.0
B/A Ratio,18.0
B/A Size,1800x100
Beta,2.2
Bid,2.22
Bid Size,1800.0
Closing Price,2.22
Day Change $,-0.03
Day Change %,-0.013300000000000001
Day High,2.27
Day Low,2.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.41
Ex-dividend Date,No dividend
Historical Volatility,0.985
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,659.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.25
Short Interest,0.1465
Today's Open,2.23
Volume,1435000.0
Volume 10-day Avg,7865869.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.72
Growth 1yr High Est,0.7916666666666667
Growth 1yr Consensus Est,0.7558333333333334
Growth 2yr Low Est,0.3483720930232558
Growth 2yr High Est,0.38420542635658916
Growth 2yr Consensus Est,0.36628875968992247
Growth 5yr Low Est,-0.14557262618822125
Growth 5yr High Est,-0.08548075264046534
Growth 5yr Consensus Est,-0.1155266894143433
Growth 5yr Actual/Est,-0.12669077348579516
Growth 3yr Historic,-0.2843383584589615
Price/Earnings (TTM),
Price/Sales (TTM),25.46149
Price/Book (MRQ),2.33944
Price/Cash Flow (TTM),
5yr Low,0.25
5yr High,15.69
5yr Avg Return,-0.12047999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.2149352
Dividend Growth 5yr,
Short Int Current Month,42738505.0
Short Int Prev Month,45768609.0
Short Int Pct of Float,0.1465451
Days to Cover,4.65116
Float,291.3763
Shares Outstanding,296.9245
Institutions Holding Shares,188.0
FCF Growth 5yr,0.2661394780030777
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.16920000000000002
Operating Profit Margin (TTM),-4.7493
Net Profit Margin (TTM),-4.514200000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.025
EPS Growth (TTM),-0.6096
Revenue Growth (MRQ),0.08259999999999999
Revenue Growth (TTM),0.6522
Return On Equity (TTM),-0.375
Return On Assets (TTM),-0.342
Return On Investment (TTM),-0.3697
Revenue Per Employee (TTM),86585.0
Total Debt/Total Capital (MRQ),0.013700000000000002
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),5.77
Interest Coverage (MRQ),
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
theStreet since,2020-03-09 00:00:00
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
