,TGI
% Above Low,0.4247
% Held by Institutions,0.9279000000000001
52-Wk Range,['7.84 - 27.85']
Annual Dividend $,
Annual Dividend %,
Ask,12.49
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.7
Bid,10.8
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,11.17
Day Change $,-0.67
Day Change %,-0.056600000000000004
Day High,11.71
Day Low,11.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.42
Ex-dividend Date,No dividend
Historical Volatility,0.6940000000000001
Last (size),1.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,726.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.34
Prev Close,11.84
Short Interest,0.0872
Today's Open,11.71
Volume,690484.0
Volume 10-day Avg,940060.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.430379746835443
Growth 1yr High Est,-0.3258426966292135
Growth 1yr Consensus Est,-0.37811122173232825
Growth 2yr Low Est,0.029254571026722964
Growth 2yr High Est,0.12874531835205988
Growth 2yr Consensus Est,0.07899994468939142
Growth 5yr Low Est,0.029254571026722964
Growth 5yr High Est,0.12874531835205988
Growth 5yr Consensus Est,0.07899994468939142
Growth 5yr Actual/Est,-7.042355514768848
Growth 3yr Historic,-7.08610086100861
Price/Earnings (TTM),8.33826
Price/Sales (TTM),0.56469
Price/Book (MRQ),
Price/Cash Flow (TTM),5.80413
5yr Low,3.02
5yr High,31.9
5yr Avg Return,0.013883333333333319
EPS Growth 5yr,
Revenue Growth 5yr,-0.16200130000000001
Dividend Growth 5yr,
Short Int Current Month,5565100.0
Short Int Prev Month,5038274.0
Short Int Pct of Float,0.08722429999999999
Days to Cover,4.45608
Float,63.89713
Shares Outstanding,65.0009
Institutions Holding Shares,226.0
FCF Growth 5yr,-0.08372878275053242
"Price/Earnings (TTM, GAAP)",8.34
"PEG Ratio (TTM, GAAP)",0.58
Gross Profit Margin (TTM),0.2681
Operating Profit Margin (TTM),0.1555
Net Profit Margin (TTM),0.0681
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),11.227400000000001
EPS Growth (TTM),1.4359
Revenue Growth (MRQ),-0.11960000000000001
Revenue Growth (TTM),-0.1724
Return On Equity (TTM),
Return On Assets (TTM),0.055099999999999996
Return On Investment (TTM),0.07540000000000001
Revenue Per Employee (TTM),1944200.0
Total Debt/Total Capital (MRQ),1.7901
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),1.13
Interest Coverage (MRQ),0.94
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2016-05-05 00:00:00
theStreet since,2017-12-28 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
