,TGI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",8.34,50.64,Valuation,0.1646919431279621
Price/Sales (TTM),0.56,4.74,Valuation,0.11814345991561181
Price/Book (MRQ),,4.28,Valuation,
"PEG Ratio (TTM, GAAP)",0.58,1.95,Valuation,0.29743589743589743
Gross Profit Margin (TTM),0.2681,0.19460000000000002,Profitability,1.3776978417266186
Operating Profit Margin (TTM),0.1555,-0.5263,Profitability,-0.29545886376591296
Net Profit Margin (TTM),0.0681,-0.5391,Profitability,-0.1263216471897607
Annual Dividend Yield,,0.0139,Dividend,
Dividend Change %,,0.0564,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),11.227400000000001,-3.8235,Gowth rates,-2.936419510919315
EPS Growth (TTM),1.4359,0.2595,Gowth rates,5.533333333333333
Revenue Growth (MRQ),-0.11960000000000001,0.0689,Gowth rates,-1.7358490566037736
Revenue Growth (TTM),-0.1724,0.0147,Gowth rates,-11.727891156462585
Return On Equity (TTM),,0.1825,Effectiveness,
Return On Assets (TTM),0.055099999999999996,0.047,Effectiveness,1.1723404255319148
Return On Investment (TTM),0.07540000000000001,0.0521,Effectiveness,1.4472168905950098
Revenue Per Employee (TTM),1944200.0,411752.0,Effectiveness,4.721774271891818
Total Debt/Total Capital (MRQ),1.7901,0.5861,Financial strength,3.0542569527384407
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002,-0.0001,Financial strength,-13.000000000000002
Quick Ratio (MRQ),1.13,1.06,Financial strength,1.0660377358490565
Interest Coverage (MRQ),0.94,7.88,Financial strength,0.11928934010152284
