,CG
% Above Low,0.1948
% Held by Institutions,0.4878
52-Wk Range,['24.59 - 57.00']
Annual Dividend $,1.23
Annual Dividend %,0.0417
Ask,29.72
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,29.1
Bid Size,100.0
Closing Price,29.38
Day Change $,-0.25
Day Change %,-0.0084
Day High,29.52
Day Low,28.96
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",4.79
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.48700000000000004
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,10.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.13
Prev Close,29.63
Short Interest,0.06509999999999999
Today's Open,29.46
Volume,1126919.0
Volume 10-day Avg,2942251.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,1.441717791411043
Growth 1yr High Est,1.6863905325443787
Growth 1yr Consensus Est,1.5640541619777109
Growth 2yr Low Est,0.5839242223386873
Growth 2yr High Est,0.82557412089774
Growth 2yr Consensus Est,0.7047491716182137
Growth 5yr Low Est,0.2919621111693437
Growth 5yr High Est,0.41278706044887
Growth 5yr Consensus Est,0.35237458580910686
Growth 5yr Actual/Est,0.35210084653972823
Growth 3yr Historic,0.41244619799139165
Price/Earnings (TTM),6.1276
Price/Sales (TTM),1.86813
Price/Book (MRQ),1.74508
Price/Cash Flow (TTM),5.62042
5yr Low,15.09
5yr High,60.62
5yr Avg Return,0.18181666666666663
EPS Growth 5yr,2.3071010000000003
Revenue Growth 5yr,0.3102378
Dividend Growth 5yr,-0.0985573
Short Int Current Month,15637725.0
Short Int Prev Month,12583625.0
Short Int Pct of Float,0.0650572
Days to Cover,3.80164
Float,240.2879
Shares Outstanding,363.6053
Institutions Holding Shares,585.0
FCF Growth 5yr,-0.5423018062767267
"Price/Earnings (TTM, GAAP)",6.13
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7084999999999999
Operating Profit Margin (TTM),0.4142
Net Profit Margin (TTM),0.3124
Annual Dividend Yield,0.0417
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.0929
EPS Growth (MRQ),0.1428
EPS Growth (TTM),-0.3832
Revenue Growth (MRQ),0.037700000000000004
Revenue Growth (TTM),-0.31079999999999997
Return On Equity (TTM),0.3209
Return On Assets (TTM),0.0853
Return On Investment (TTM),0.1219
Revenue Per Employee (TTM),3091027.0
Total Debt/Total Capital (MRQ),0.5381
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),29.06
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2021-02-08 00:00:00
cfra since,2021-11-12 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
marketEdge since,2022-07-29 00:00:00
theStreet since,
