,CG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.13,20.51,Valuation,0.29887859580692344
Price/Sales (TTM),1.87,12.46,Valuation,0.15008025682182985
Price/Book (MRQ),1.75,4.63,Valuation,0.3779697624190065
"PEG Ratio (TTM, GAAP)",,2.67,Valuation,
Gross Profit Margin (TTM),0.7084999999999999,0.5835,Profitability,1.214224507283633
Operating Profit Margin (TTM),0.4142,0.269,Profitability,1.5397769516728623
Net Profit Margin (TTM),0.3124,0.1791,Profitability,1.7442769402568397
Annual Dividend Yield,0.0417,0.0257,Dividend,1.622568093385214
Dividend Change %,0.0,0.2049,Dividend,0.0
"Dividend Growth Rate, 3 Years",-0.0929,0.1213,Dividend,-0.7658697444352843
EPS Growth (MRQ),0.1428,-0.2356,Gowth rates,-0.6061120543293719
EPS Growth (TTM),-0.3832,-0.0768,Gowth rates,4.989583333333334
Revenue Growth (MRQ),0.037700000000000004,0.0931,Gowth rates,0.40494092373791624
Revenue Growth (TTM),-0.31079999999999997,0.0447,Gowth rates,-6.953020134228188
Return On Equity (TTM),0.3209,0.1783,Effectiveness,1.799775659001683
Return On Assets (TTM),0.0853,0.0492,Effectiveness,1.733739837398374
Return On Investment (TTM),0.1219,0.1008,Effectiveness,1.2093253968253967
Revenue Per Employee (TTM),3091027.0,1125238.0,Effectiveness,2.7469984127802296
Total Debt/Total Capital (MRQ),0.5381,0.5241,Financial strength,1.0267124594543027
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0008,Financial strength,-1.0
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),29.06,21.92,Financial strength,1.325729927007299
