,TPB
% Above Low,0.12119999999999999
% Held by Institutions,0.8123999999999999
52-Wk Range,['18.81 - 38.90']
Annual Dividend $,0.24
Annual Dividend %,0.0113
Ask,24.7
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,20.3
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,21.09
Day Change $,-0.18
Day Change %,-0.0085
Day High,21.52
Day Low,21.04
Dividend Pay Date,2023-01-06 00:00:00
"EPS (TTM, GAAP)",1.97
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.444
Last (size),1.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,370.4M
"P/E Ratio (TTM, GAAP)",10.8
Prev Close,21.27
Short Interest,0.0727
Today's Open,21.04
Volume,130430.0
Volume 10-day Avg,131397.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.5433526011560694
Growth 1yr High Est,0.3622448979591837
Growth 1yr Consensus Est,0.45279874955762656
Growth 2yr Low Est,0.23984109458552538
Growth 2yr High Est,0.2279389283803409
Growth 2yr Consensus Est,0.23389001148293315
Growth 5yr Low Est,0.11992054729276269
Growth 5yr High Est,0.11396946419017046
Growth 5yr Consensus Est,0.11694500574146657
Growth 5yr Actual/Est,0.1203671442466808
Growth 3yr Historic,0.14726112577966555
Price/Earnings (TTM),10.79509
Price/Sales (TTM),0.8961
Price/Book (MRQ),2.89994
Price/Cash Flow (TTM),8.53306
5yr Low,14.09
5yr High,61.08
5yr Avg Return,0.08959999999999999
EPS Growth 5yr,0.0925874
Revenue Growth 5yr,0.1665258
Dividend Growth 5yr,
Short Int Current Month,647355.0
Short Int Prev Month,635161.0
Short Int Pct of Float,0.07265869999999999
Days to Cover,3.77247
Float,16.87888
Shares Outstanding,17.56398
Institutions Holding Shares,149.0
FCF Growth 5yr,1.330780492212604
"Price/Earnings (TTM, GAAP)",10.8
"PEG Ratio (TTM, GAAP)",1.89
Gross Profit Margin (TTM),0.4949
Operating Profit Margin (TTM),0.2
Net Profit Margin (TTM),0.09240000000000001
Annual Dividend Yield,0.0113
Dividend Change %,0.1
"Dividend Growth Rate, 3 Years",0.10060000000000001
EPS Growth (MRQ),0.9749
EPS Growth (TTM),-0.2082
Revenue Growth (MRQ),0.047400000000000005
Revenue Growth (TTM),-0.0641
Return On Equity (TTM),0.29550000000000004
Return On Assets (TTM),0.063
Return On Investment (TTM),0.06860000000000001
Revenue Per Employee (TTM),978648.0
Total Debt/Total Capital (MRQ),0.7611
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),3.39
Interest Coverage (MRQ),4.44
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-05-20 00:00:00
theStreet since,2022-05-20 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
