,NOV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",919.7,669.05,Valuation,1.3746356774531052
Price/Sales (TTM),1.31,2.16,Valuation,0.6064814814814815
Price/Book (MRQ),1.79,3.21,Valuation,0.5576323987538941
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.1636,0.1895,Profitability,0.8633245382585751
Operating Profit Margin (TTM),0.013000000000000001,0.0622,Profitability,0.20900321543408362
Net Profit Margin (TTM),0.0019,0.011899999999999999,Profitability,0.1596638655462185
Annual Dividend Yield,0.009000000000000001,0.0131,Dividend,0.6870229007633588
Dividend Change %,,-0.2443,Dividend,
"Dividend Growth Rate, 3 Years",-0.37,-0.21420000000000003,Dividend,1.7273576097105505
EPS Growth (MRQ),-0.5363,0.659,Gowth rates,-0.8138088012139605
EPS Growth (TTM),1.0146,-0.1462,Gowth rates,-6.939808481532148
Revenue Growth (MRQ),0.09380000000000001,0.3728,Gowth rates,0.25160944206008584
Revenue Growth (TTM),0.2525,0.2954,Gowth rates,0.8547731888964116
Return On Equity (TTM),0.0022,0.0775,Effectiveness,0.02838709677419355
Return On Assets (TTM),0.0013000000000000002,0.0348,Effectiveness,0.03735632183908047
Return On Investment (TTM),0.0017000000000000001,0.1063,Effectiveness,0.01599247412982126
Revenue Per Employee (TTM),247051.0,673709.0,Effectiveness,0.36670283460663283
Total Debt/Total Capital (MRQ),0.2849,0.3983,Financial strength,0.7152899824253075
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0006,Financial strength,-0.16666666666666669
Quick Ratio (MRQ),1.52,1.2,Financial strength,1.2666666666666668
Interest Coverage (MRQ),56.0,15.83,Financial strength,3.5375868603916616
