,NOV
% Below High,0.0837
% Held by Institutions,0.9579000000000001
52-Wk Range,['11.46 - 24.25']
Annual Dividend $,0.2
Annual Dividend %,0.009000000000000001
Ask,21.77
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,21.61
Bid Size,100.0
Change Since Close,-0.45| |(-2.03%)
Closing Price,22.22
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",0.02
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.518
Last (size),2.0
Last (time),5:00p ET 11/25/22
Last Trade,21.77
Market Cap,8.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",919.7
Prev Close,22.22
Short Interest,0.0347
Today's Open,
Volume,415.0
Volume 10-day Avg,2468159.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-1.5238095238095237
Growth 1yr High Est,-4.699999999999999
Growth 1yr Consensus Est,-3.1119047619047615
Growth 2yr Low Est,0.20779220779220764
Growth 2yr High Est,-2.397297297297297
Growth 2yr Consensus Est,-1.0947525447525446
Growth 5yr Low Est,-0.057550292844410635
Growth 5yr High Est,-2.203640375068946
Growth 5yr Consensus Est,-1.1305953339566785
Growth 5yr Actual/Est,-0.5105184331797235
Growth 3yr Historic,-0.15213133640552995
Price/Earnings (TTM),919.702
Price/Sales (TTM),1.30641
Price/Book (MRQ),1.79296
Price/Cash Flow (TTM),27.88539
5yr Low,7.7
5yr High,49.08
5yr Avg Return,-0.006766666666666671
EPS Growth 5yr,
Revenue Growth 5yr,-0.052953799999999995
Dividend Growth 5yr,-0.39364350000000004
Short Int Current Month,13535424.0
Short Int Prev Month,14247336.0
Short Int Pct of Float,0.0346841
Days to Cover,4.04758
Float,390.2281
Shares Outstanding,392.805
Institutions Holding Shares,455.0
FCF Growth 5yr,-0.3375327625646205
"Price/Earnings (TTM, GAAP)",919.7
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1636
Operating Profit Margin (TTM),0.013000000000000001
Net Profit Margin (TTM),0.0019
Annual Dividend Yield,0.009000000000000001
Dividend Change %,
"Dividend Growth Rate, 3 Years",-0.37
EPS Growth (MRQ),-0.5363
EPS Growth (TTM),1.0146
Revenue Growth (MRQ),0.09380000000000001
Revenue Growth (TTM),0.2525
Return On Equity (TTM),0.0022
Return On Assets (TTM),0.0013000000000000002
Return On Investment (TTM),0.0017000000000000001
Revenue Per Employee (TTM),247051.0
Total Debt/Total Capital (MRQ),0.2849
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),1.52
Interest Coverage (MRQ),56.0
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-02-07 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
