,AUPH
% Above Low,0.08689999999999999
% Held by Institutions,0.3908
52-Wk Range,['4.49 - 24.45']
Annual Dividend $,
Annual Dividend %,
Ask,4.95
Ask Size,900.0
B/A Ratio,1.1111111111111112
B/A Size,1000x900
Beta,0.8
Bid,4.81
Bid Size,1000.0
Closing Price,4.88
Day Change $,0.0
Day Change %,0.0
Day High,4.99
Day Low,4.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.83
Ex-dividend Date,No dividend
Historical Volatility,0.899
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,693.5M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,4.88
Short Interest,0.0625
Today's Open,4.92
Volume,871114.0
Volume 10-day Avg,2848562.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.37241379310344824
Growth 1yr High Est,-0.3941605839416059
Growth 1yr Consensus Est,-0.3832871885225271
Growth 2yr Low Est,-0.13126184160666915
Growth 2yr High Est,-0.2151525811274294
Growth 2yr Consensus Est,-0.17320721136704928
Growth 5yr Low Est,-0.13126184160666915
Growth 5yr High Est,-0.2151525811274294
Growth 5yr Consensus Est,-0.17320721136704928
Growth 5yr Actual/Est,-0.02355807114134223
Growth 3yr Historic,0.06583268516117874
Price/Earnings (TTM),
Price/Sales (TTM),5.37599
Price/Book (MRQ),1.63783
Price/Cash Flow (TTM),
5yr Low,3.52
5yr High,33.97
5yr Avg Return,0.31970000000000004
EPS Growth 5yr,
Revenue Growth 5yr,2.049252
Dividend Growth 5yr,
Short Int Current Month,8293506.0
Short Int Prev Month,11455175.0
Short Int Pct of Float,0.0625363
Days to Cover,2.06491
Float,132.8808
Shares Outstanding,142.11
Institutions Holding Shares,240.0
FCF Growth 5yr,0.03209237166520943
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9629000000000001
Operating Profit Margin (TTM),-0.8998
Net Profit Margin (TTM),-0.895
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7471
EPS Growth (TTM),0.3136
Revenue Growth (MRQ),0.9786
Revenue Growth (TTM),0.7859
Return On Equity (TTM),-0.32
Return On Assets (TTM),-0.2722
Return On Investment (TTM),-0.3003
Revenue Per Employee (TTM),429997.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),10.4
Interest Coverage (MRQ),
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra since,
marketEdge opinion since,
marketEdge since,2020-02-13 00:00:00
theStreet since,
researchTeam since,
newConstructs since,
