,AUPH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),5.38,45.03,Valuation,0.11947590495225405
Price/Book (MRQ),1.64,12.61,Valuation,0.13005551149881048
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9629000000000001,0.5874,Profitability,1.6392577459993192
Operating Profit Margin (TTM),-0.8998,-4.7459,Profitability,0.18959522956657326
Net Profit Margin (TTM),-0.895,-4.5467,Profitability,0.1968460641784151
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.7471,-0.0014000000000000002,Gowth rates,-533.6428571428571
EPS Growth (TTM),0.3136,0.027200000000000002,Gowth rates,11.52941176470588
Revenue Growth (MRQ),0.9786,1.3963999999999999,Gowth rates,0.7008020624462905
Revenue Growth (TTM),0.7859,0.9747,Gowth rates,0.8062993741664102
Return On Equity (TTM),-0.32,0.1967,Effectiveness,-1.626842907981698
Return On Assets (TTM),-0.2722,0.0016,Effectiveness,-170.125
Return On Investment (TTM),-0.3003,0.0219,Effectiveness,-13.712328767123289
Revenue Per Employee (TTM),429997.0,1476201.0,Effectiveness,0.2912862137337666
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),10.4,2.06,Financial strength,5.048543689320389
Interest Coverage (MRQ),,2.69,Financial strength,
