,TNK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,9.13,Valuation,
Price/Sales (TTM),1.63,7.57,Valuation,0.2153236459709379
Price/Book (MRQ),1.32,4.65,Valuation,0.2838709677419355
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.16190000000000002,0.35119999999999996,Profitability,0.46099088838268804
Operating Profit Margin (TTM),-0.0527,0.192,Profitability,-0.27447916666666666
Net Profit Margin (TTM),-0.1115,0.0358,Profitability,-3.1145251396648046
Annual Dividend Yield,,0.0379,Dividend,
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),3.0303,2.3421000000000003,Gowth rates,1.2938388625592416
EPS Growth (TTM),0.7123,7.2215,Gowth rates,0.09863601744789864
Revenue Growth (MRQ),0.3929,0.7168000000000001,Gowth rates,0.5481305803571428
Revenue Growth (TTM),0.22760000000000002,47.807,Gowth rates,0.004760809086535445
Return On Equity (TTM),-0.0867,0.3993,Effectiveness,-0.21712997746055598
Return On Assets (TTM),-0.0471,0.15810000000000002,Effectiveness,-0.29791271347248577
Return On Investment (TTM),-0.0543,0.2237,Effectiveness,-0.24273580688421992
Revenue Per Employee (TTM),,7554984.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.42229999999999995,0.3658,Financial strength,1.1544559868780753
Change in Debt/Total Capital Quarter over Quarter,0.0006,-0.002,Financial strength,-0.3
Quick Ratio (MRQ),1.19,0.96,Financial strength,1.2395833333333333
Interest Coverage (MRQ),5.29,13.28,Financial strength,0.3983433734939759
