,HLMN
% Above Low,0.1797
% Held by Institutions,0.9540000000000001
52-Wk Range,['6.60 - 12.45']
Annual Dividend $,
Annual Dividend %,
Ask,8.0
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,
Bid,4.25
Bid Size,200.0
Closing Price,7.78
Day Change $,0.17
Day Change %,0.0223
Day High,7.91
Day Low,7.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.02
Ex-dividend Date,No dividend
Historical Volatility,0.455
Last (size),64.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",366.64
Prev Close,7.61
Short Interest,0.071
Today's Open,7.59
Volume,511269.0
Volume 10-day Avg,1298089.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.8333333333333333
Growth 2yr High Est,0.021739130434782483
Growth 2yr Consensus Est,-0.4057971014492754
Growth 5yr Low Est,-0.8333333333333333
Growth 5yr High Est,0.021739130434782483
Growth 5yr Consensus Est,-0.4057971014492754
Growth 5yr Actual/Est,-0.15953654188948307
Growth 3yr Historic,0.0
Price/Earnings (TTM),366.6353
Price/Sales (TTM),1.02221
Price/Book (MRQ),1.29617
Price/Cash Flow (TTM),12.48061
5yr Low,6.6
5yr High,13.46
5yr Avg Return,-0.06703333333333333
Short Int Current Month,10068437.0
Short Int Prev Month,13360059.0
Short Int Pct of Float,0.0710374
Days to Cover,5.60446
Float,192.9135
Shares Outstanding,194.4761
Institutions Holding Shares,200.0
FCF Growth 5yr,-1.0624104372219092
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",366.64
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.42340000000000005
Operating Profit Margin (TTM),0.0233
Net Profit Margin (TTM),0.0027
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.0866
EPS Growth (TTM),
Revenue Growth (MRQ),-0.0395
Revenue Growth (TTM),
Return On Equity (TTM),0.0036
Return On Assets (TTM),0.0016
Return On Investment (TTM),0.0017000000000000001
Revenue Per Employee (TTM),351414.0
Total Debt/Total Capital (MRQ),0.4426
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.67
Interest Coverage (MRQ),-0.03
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-11-18 00:00:00
researchTeam since,2022-11-18 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
