,HLMN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",366.64,24.01,Valuation,15.270304039983339
Price/Sales (TTM),1.02,3.06,Valuation,0.3333333333333333
Price/Book (MRQ),1.3,7.44,Valuation,0.1747311827956989
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.42340000000000005,0.32799999999999996,Profitability,1.2908536585365857
Operating Profit Margin (TTM),0.0233,0.0198,Profitability,1.1767676767676767
Net Profit Margin (TTM),0.0027,-0.0086,Profitability,-0.313953488372093
Annual Dividend Yield,,0.0143,Dividend,
Dividend Change %,,0.1666,Dividend,
"Dividend Growth Rate, 3 Years",,0.0885,Dividend,
EPS Growth (MRQ),-2.0866,0.3518,Gowth rates,-5.931210915292779
EPS Growth (TTM),,0.16149999999999998,Gowth rates,
Revenue Growth (MRQ),-0.0395,0.196,Gowth rates,-0.20153061224489796
Revenue Growth (TTM),,0.1475,Gowth rates,
Return On Equity (TTM),0.0036,0.2859,Effectiveness,0.012591815320041973
Return On Assets (TTM),0.0016,0.0851,Effectiveness,0.018801410105757935
Return On Investment (TTM),0.0017000000000000001,0.12490000000000001,Effectiveness,0.013610888710968775
Revenue Per Employee (TTM),351414.0,343373.0,Effectiveness,1.0234176828114034
Total Debt/Total Capital (MRQ),0.4426,0.6352000000000001,Financial strength,0.6967884130982367
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0189,Financial strength,0.021164021164021166
Quick Ratio (MRQ),0.67,1.07,Financial strength,0.6261682242990654
Interest Coverage (MRQ),-0.03,20.9,Financial strength,-0.0014354066985645933
