,ENTG
% Above Low,0.2274
% Held by Institutions,0.9899
52-Wk Range,['61.75 - 157.49']
Annual Dividend $,0.4
Annual Dividend %,0.0053
Ask,81.66
Ask Size,300.0
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,1.2
Bid,71.98
Bid Size,400.0
Closing Price,75.79
Day Change $,0.58
Day Change %,0.0077
Day High,76.4
Day Low,74.35
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",2.02
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.6020000000000001
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,11.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",37.54
Prev Close,75.21
Short Interest,0.049699999999999994
Today's Open,74.58
Volume,800017.0
Volume 10-day Avg,1626802.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.09552238805970137
Growth 1yr High Est,0.10914454277286123
Growth 1yr Consensus Est,0.1023334654162813
Growth 2yr Low Est,-0.03670747082028558
Growth 2yr High Est,0.0758488671311115
Growth 2yr Consensus Est,0.019570698155412958
Growth 5yr Low Est,0.14240591906140193
Growth 5yr High Est,0.19580198458596393
Growth 5yr Consensus Est,0.16910395182368293
Growth 5yr Actual/Est,0.16960167815212257
Growth 3yr Historic,0.16759822120680512
Price/Earnings (TTM),37.5408
Price/Sales (TTM),3.80165
Price/Book (MRQ),3.62458
Price/Cash Flow (TTM),23.11146
5yr Low,23.39
5yr High,158.0
5yr Avg Return,0.25608333333333333
EPS Growth 5yr,0.34369489999999997
Revenue Growth 5yr,0.1436055
Dividend Growth 5yr,
Short Int Current Month,7352743.0
Short Int Prev Month,5323075.0
Short Int Pct of Float,0.0497314
Days to Cover,2.49443
Float,147.8953
Shares Outstanding,149.0346
Institutions Holding Shares,655.0
FCF Growth 5yr,-0.7715478784106237
"Price/Earnings (TTM, GAAP)",37.54
"PEG Ratio (TTM, GAAP)",4.25
Gross Profit Margin (TTM),0.43320000000000003
Operating Profit Margin (TTM),0.1661
Net Profit Margin (TTM),0.0908
Annual Dividend Yield,0.0053
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0455
EPS Growth (MRQ),-1.6804
EPS Growth (TTM),-0.2699
Revenue Growth (MRQ),0.43520000000000003
Revenue Growth (TTM),0.36210000000000003
Return On Equity (TTM),0.11410000000000001
Return On Assets (TTM),0.040999999999999995
Return On Investment (TTM),0.045
Revenue Per Employee (TTM),433747.0
Total Debt/Total Capital (MRQ),0.6523000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0086
Quick Ratio (MRQ),1.66
Interest Coverage (MRQ),0.7
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-06-29 00:00:00
ford since,2022-07-22 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-03 00:00:00
