,ENTG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",37.54,20.56,Valuation,1.8258754863813231
Price/Sales (TTM),3.8,7.41,Valuation,0.5128205128205128
Price/Book (MRQ),3.62,13.13,Valuation,0.2757044935262757
"PEG Ratio (TTM, GAAP)",4.25,0.9,Valuation,4.722222222222222
Gross Profit Margin (TTM),0.43320000000000003,0.5489,Profitability,0.7892147932228092
Operating Profit Margin (TTM),0.1661,0.25739999999999996,Profitability,0.6452991452991453
Net Profit Margin (TTM),0.0908,0.2224,Profitability,0.4082733812949641
Annual Dividend Yield,0.0053,0.014499999999999999,Dividend,0.36551724137931035
Dividend Change %,0.0,0.0676,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0455,0.091,Dividend,0.5
EPS Growth (MRQ),-1.6804,1.5356,Gowth rates,-1.094295389424329
EPS Growth (TTM),-0.2699,0.2274,Gowth rates,-1.1868953386103782
Revenue Growth (MRQ),0.43520000000000003,0.1335,Gowth rates,3.2599250936329587
Revenue Growth (TTM),0.36210000000000003,0.24170000000000003,Gowth rates,1.4981381878361606
Return On Equity (TTM),0.11410000000000001,0.36920000000000003,Effectiveness,0.3090465872156013
Return On Assets (TTM),0.040999999999999995,0.16010000000000002,Effectiveness,0.2560899437851342
Return On Investment (TTM),0.045,0.1925,Effectiveness,0.23376623376623376
Revenue Per Employee (TTM),433747.0,898550.0,Effectiveness,0.4827188247732458
Total Debt/Total Capital (MRQ),0.6523000000000001,0.3576,Financial strength,1.8241051454138706
Change in Debt/Total Capital Quarter over Quarter,0.0086,0.0,Financial strength,inf
Quick Ratio (MRQ),1.66,2.24,Financial strength,0.7410714285714285
Interest Coverage (MRQ),0.7,15.8,Financial strength,0.044303797468354424
