,KRUS
% Below High,0.3225
% Held by Institutions,0.5459
52-Wk Range,['30.95 - 96.60']
Annual Dividend $,
Annual Dividend %,
Ask,81.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,57.5
Bid Size,100.0
Closing Price,65.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.08
Ex-dividend Date,No dividend
Historical Volatility,0.782
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,640.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,65.45
Short Interest,0.2425
Today's Open,
Volume,25559.0
Volume 10-day Avg,117838.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.0217391304347827
Growth 2yr High Est,3.625
Growth 2yr Consensus Est,1.3016304347826086
Growth 5yr Low Est,-1.0217391304347827
Growth 5yr High Est,3.625
Growth 5yr Consensus Est,1.3016304347826086
Growth 5yr Actual/Est,-2.31720504873914
Growth 3yr Historic,-0.338038382072473
Price/Earnings (TTM),
Price/Sales (TTM),4.541
Price/Book (MRQ),6.86673
Price/Cash Flow (TTM),121.273
5yr Low,5.07
5yr High,96.6
5yr Avg Return,0.856125
EPS Growth 5yr,
Revenue Growth 5yr,0.3051819
Dividend Growth 5yr,
Short Int Current Month,1008035.0
Short Int Prev Month,1041503.0
Short Int Pct of Float,0.2425442
Days to Cover,7.63449
Float,4.15609
Shares Outstanding,9.78893
Institutions Holding Shares,134.0
FCF Growth 5yr,-0.4825620750403819
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2254
Operating Profit Margin (TTM),-0.0053
Net Profit Margin (TTM),-0.0054
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.1488
EPS Growth (TTM),0.934
Revenue Growth (MRQ),0.1061
Revenue Growth (TTM),1.1742000000000001
Return On Equity (TTM),-0.0083
Return On Assets (TTM),-0.004
Return On Investment (TTM),-0.0046
Revenue Per Employee (TTM),67185.0
Total Debt/Total Capital (MRQ),0.005699999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0068000000000000005
Quick Ratio (MRQ),1.63
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-11-25 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
