,KRUS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,103.69,Valuation,
Price/Sales (TTM),4.54,5.63,Valuation,0.8063943161634103
Price/Book (MRQ),6.87,8.51,Valuation,0.8072855464159813
"PEG Ratio (TTM, GAAP)",,0.48,Valuation,
Gross Profit Margin (TTM),0.2254,0.4058,Profitability,0.555446032528339
Operating Profit Margin (TTM),-0.0053,0.1648,Profitability,-0.03216019417475728
Net Profit Margin (TTM),-0.0054,0.0801,Profitability,-0.06741573033707865
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.0563,Dividend,
"Dividend Growth Rate, 3 Years",,0.0311,Dividend,
EPS Growth (MRQ),3.1488,0.3321,Gowth rates,9.481481481481481
EPS Growth (TTM),0.934,2.1422,Gowth rates,0.4360003734478574
Revenue Growth (MRQ),0.1061,0.38689999999999997,Gowth rates,0.2742310674592918
Revenue Growth (TTM),1.1742000000000001,0.7726000000000001,Gowth rates,1.519803261713694
Return On Equity (TTM),-0.0083,0.1915,Effectiveness,-0.0433420365535248
Return On Assets (TTM),-0.004,0.0764,Effectiveness,-0.052356020942408384
Return On Investment (TTM),-0.0046,0.1012,Effectiveness,-0.045454545454545456
Revenue Per Employee (TTM),67185.0,286353.0,Effectiveness,0.23462300028286764
Total Debt/Total Capital (MRQ),0.005699999999999999,1.1601000000000001,Financial strength,0.0049133695371088686
Change in Debt/Total Capital Quarter over Quarter,-0.0068000000000000005,0.002,Financial strength,-3.4000000000000004
Quick Ratio (MRQ),1.63,0.8,Financial strength,2.0374999999999996
Interest Coverage (MRQ),,40.35,Financial strength,
