,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,28.8,28.79,83.0,96.6,,,,,
low,14.75,5.07,17.55,30.95,,,,,
change,0.7092,-0.2409,3.1542000000000003,-0.198,,,,,
Date,,,,,2021-11-30 00:00:00,2022-02-28 00:00:00,2022-05-31 00:00:00,2022-08-31 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,44421.0,36350.0,35968.0,35782.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,2030.0,2508.0,2213.0,2486.0,Balance Sheet
Other Receivables,,,,,10.0,25.0,0.0,156.0,Balance Sheet
"Total Receivables, Net",,,,,2040.0,2533.0,2213.0,2642.0,Balance Sheet
Total Inventory,,,,,820.0,880.0,884.0,1120.0,Balance Sheet
Prepaid Expenses,,,,,1391.0,2046.0,1772.0,2588.0,Balance Sheet
"Other Curr. Assets, Total",,,,,4263.0,4232.0,4336.0,264.0,Balance Sheet
Total Current Assets,,,,,52935.0,46041.0,45173.0,42396.0,Balance Sheet
Buildings,,,,,45318.0,49805.0,52054.0,56668.0,Balance Sheet
Machinery/Equipment,,,,,1965.0,2014.0,2166.0,2387.0,Balance Sheet
Construction in Progress,,,,,7923.0,5158.0,7961.0,8666.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,84069.0,95281.0,103576.0,107915.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,139275.0,152258.0,165757.0,175636.0,Balance Sheet
Accumulated Depreciation,,,,,-15702.0,-17050.0,-18511.0,-20056.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,123573.0,135208.0,147246.0,155580.0,Balance Sheet
Intangibles - Net,,,,,,,,1748.0,Balance Sheet
Other Long Term Assets,,,,,2311.0,2799.0,3106.0,1632.0,Balance Sheet
Total Assets,,,,,178819.0,184048.0,195525.0,201356.0,Balance Sheet
Accounts Payable,,,,,6222.0,4770.0,6115.0,5559.0,Balance Sheet
Accrued Expenses,,,,,15355.0,15122.0,17469.0,18918.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,845.0,768.0,697.0,507.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,326.0,98.0,84.0,285.0,Balance Sheet
Total Current Liabilities,,,,,22748.0,20758.0,24365.0,25269.0,Balance Sheet
Total Long Term Debt,,,,,374.0,221.0,49.0,30.0,Balance Sheet
Total Debt,,,,,1219.0,989.0,746.0,537.0,Balance Sheet
"Other Liabilities, Total",,,,,65666.0,74446.0,81151.0,82763.0,Balance Sheet
Total Liabilities,,,,,88788.0,95425.0,105565.0,108062.0,Balance Sheet
Common Stock,,,,,10.0,10.0,10.0,10.0,Balance Sheet
Additional Paid-In Capital,,,,,116218.0,116689.0,117549.0,118970.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-26197.0,-28076.0,-27599.0,-25686.0,Balance Sheet
Total Equity,,,,,90031.0,88623.0,89960.0,93294.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,178819.0,184048.0,195525.0,201356.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,8713.0,8716.0,8734.0,8788.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,1000.0,1000.0,1000.0,1000.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,9713.0,9716.0,9734.0,9788.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-11-30 00:00:00,2022-02-28 00:00:00,2022-05-31 00:00:00,2022-08-31 00:00:00,Income Statement
Total Revenue,,,,,29832.0,31290.0,37969.0,41998.0,Income Statement
"Cost of Revenue, Total",,,,,23448.0,25329.0,28818.0,31687.0,Income Statement
Selling/Gen/Admin Expense,,,,,7152.0,7232.0,7949.0,7586.0,Income Statement
Labor & Related Expense,,,,,408.0,524.0,644.0,536.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,7560.0,7756.0,8593.0,8122.0,Income Statement
Depreciation/Amortization,,,,,88.0,83.0,85.0,99.0,Income Statement
Restructuring Charge,,,,,0.0,,,175.0,Income Statement
Litigation,,,,,,,,0.0,Income Statement
Unusual Expense (Income),,,,,0.0,,,175.0,Income Statement
Total Operating Expense,,,,,31096.0,33168.0,37496.0,40083.0,Income Statement
Total Operating Income,,,,,-1264.0,-1878.0,473.0,1915.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-25.0,-22.0,-23.0,-17.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,26.0,24.0,25.0,76.0,Income Statement
Income Before Tax,,,,,-1263.0,-1876.0,475.0,1974.0,Income Statement
Income Tax - Total,,,,,12.0,3.0,-2.0,61.0,Income Statement
Income After Tax,,,,,-1275.0,-1879.0,477.0,1913.0,Income Statement
Net Inc Before Extra Items,,,,,-1275.0,-1879.0,477.0,1913.0,Income Statement
Total Net Income,,,,,-1275.0,-1879.0,477.0,1913.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,-1275.0,-1879.0,477.0,1913.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,-1275.0,-1879.0,477.0,1913.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,9710.0,9712.0,9722.0,9734.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,-0.13,-0.19,0.05,0.2,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,-0.13,-0.19,0.05,0.2,Income Statement
Diluted Weighted Average Shares,,,,,9710.0,9712.0,10069.0,9734.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,-0.13,-0.19,0.05,0.2,Income Statement
Diluted EPS Incl. Extra. Items,,,,,-0.13,-0.19,0.05,0.2,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,25.0,22.0,23.0,17.0,Income Statement
"Depreciat/Amort, Suppl",,,,,1259.0,1493.0,1606.0,1689.0,Income Statement
Total Special Items,,,,,0.0,,,175.0,Income Statement
Normalzd Income Before Tax,,,,,-1263.0,-1876.0,475.0,2149.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,0.0,,,5.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,12.0,3.0,-2.0,66.0,Income Statement
Normalized Income After Tax,,,,,-1275.0,-1879.0,477.0,2083.0,Income Statement
Normalzd Inc Avail to Common,,,,,-1275.0,-1879.0,477.0,2083.0,Income Statement
Basic Normalized EPS,,,,,-0.13,-0.19,0.05,0.21,Income Statement
Diluted Normalized EPS,,,,,-0.13,-0.19,0.05,0.21,Income Statement
Date,,,,,2021-11-30 00:00:00,2022-02-28 00:00:00,2022-05-31 00:00:00,2022-08-31 00:00:00,Cash Flow
Net Income,,,,,-1275.0,-3154.0,-2677.0,-764.0,Cash Flow
Depreciation/Depletion,,,,,1259.0,2609.0,4070.0,5613.0,Cash Flow
Deferred Taxes,,,,,,,,0.0,Cash Flow
Unusual Items,,,,,0.0,0.0,0.0,12.0,Cash Flow
