,FBHS
% Above Low,0.26420000000000005
% Held by Institutions,0.8776999999999999
52-Wk Range,['52.95 - 108.41']
Annual Dividend $,1.12
Annual Dividend %,0.0167
Ask,71.39
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,55.0
Bid Size,100.0
Closing Price,66.94
Day Change $,0.73
Day Change %,0.011000000000000001
Day High,67.18
Day Low,65.95
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",5.65
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.409
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,8.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.84
Prev Close,66.21
Short Interest,0.0158
Today's Open,66.1
Volume,549302.0
Volume 10-day Avg,1175329.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.10124333925399642
Growth 1yr High Est,0.09201388888888884
Growth 1yr Consensus Est,0.09662861407144263
Growth 2yr Low Est,-0.03405574972784048
Growth 2yr High Est,0.05077641980215508
Growth 2yr Consensus Est,0.008360335037157302
Growth 5yr Low Est,0.11651993848615297
Growth 5yr High Est,0.15855985070575118
Growth 5yr Consensus Est,0.13753989459595206
Growth 5yr Actual/Est,0.13474527282471221
Growth 3yr Historic,0.13285766374966856
Price/Earnings (TTM),11.84404
Price/Sales (TTM),1.06711
Price/Book (MRQ),2.83309
Price/Cash Flow (TTM),9.10828
5yr Low,33.9
5yr High,114.01
5yr Avg Return,0.08861666666666666
EPS Growth 5yr,0.16201429999999997
Revenue Growth 5yr,0.08960789999999999
Dividend Growth 5yr,0.10197229999999999
Short Int Current Month,2019930.0
Short Int Prev Month,2122945.0
Short Int Pct of Float,0.0158275
Days to Cover,1.44907
Float,127.7233
Shares Outstanding,128.2425
Institutions Holding Shares,871.0
FCF Growth 5yr,-1.5836486875140885
"Price/Earnings (TTM, GAAP)",11.84
"PEG Ratio (TTM, GAAP)",9.88
Gross Profit Margin (TTM),0.3576
Operating Profit Margin (TTM),0.1342
Net Profit Margin (TTM),0.0935
Annual Dividend Yield,0.0167
Dividend Change %,0.0833
"Dividend Growth Rate, 3 Years",0.09140000000000001
EPS Growth (MRQ),0.0725
EPS Growth (TTM),0.0429
Revenue Growth (MRQ),-0.0271
Revenue Growth (TTM),0.0941
Return On Equity (TTM),0.24730000000000002
Return On Assets (TTM),0.09240000000000001
Return On Investment (TTM),0.1184
Revenue Per Employee (TTM),286737.0
Total Debt/Total Capital (MRQ),0.5278
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),0.74
Interest Coverage (MRQ),9.53
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-07-06 00:00:00
researchTeam since,2021-08-13 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-21 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
