,SNA
% Below High,0.0168
% Held by Institutions,0.8667
52-Wk Range,['190.08 - 243.92']
Annual Dividend $,6.48
Annual Dividend %,0.026699999999999998
Ask,239.89
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.1
Bid,239.67
Bid Size,100.0
Day Change $,-2.95
Day Change %,-0.012199999999999999
Day High,242.06
Day Low,239.66
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",16.5
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.27
Last (size),1.0
Last (time),2:44p ET 11/28/22
Market Cap,12.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.71
Prev Close,242.78
Price,239.83
Short Interest,0.051699999999999996
Today's Open,241.27
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.16762589928057547
Growth 1yr High Est,0.15558601782042492
Growth 1yr Consensus Est,0.1616059585505002
Growth 2yr Low Est,0.044379801149837916
Growth 2yr High Est,0.11693891638352205
Growth 2yr Consensus Est,0.08065935876667998
Growth 5yr Low Est,0.05772810928486147
Growth 5yr High Est,0.1045327698800727
Growth 5yr Consensus Est,0.08113043958246709
Growth 5yr Actual/Est,0.08700063546164125
Growth 3yr Historic,0.05787561420021067
Price/Earnings (TTM),14.71101
Price/Sales (TTM),2.69216
Price/Book (MRQ),2.98917
Price/Cash Flow (TTM),12.60612
5yr Low,90.72
5yr High,259.99
5yr Avg Return,0.07358333333333335
EPS Growth 5yr,0.1015351
Revenue Growth 5yr,0.043918900000000004
Dividend Growth 5yr,0.15005190000000002
Short Int Current Month,2698723.0
Short Int Prev Month,2693730.0
Short Int Pct of Float,0.0516885
Days to Cover,10.35656
Float,52.24532
Shares Outstanding,53.15464
Institutions Holding Shares,973.0
FCF Growth 5yr,0.08443820008259632
"Price/Earnings (TTM, GAAP)",14.71
"PEG Ratio (TTM, GAAP)",5.25
Gross Profit Margin (TTM),0.522
Operating Profit Margin (TTM),0.24920000000000003
Net Profit Margin (TTM),0.1916
Annual Dividend Yield,0.0267
Dividend Change %,0.1432
"Dividend Growth Rate, 3 Years",0.1443
EPS Growth (MRQ),-0.031000000000000003
EPS Growth (TTM),0.1253
Revenue Growth (MRQ),-0.0271
Revenue Growth (TTM),0.0479
Return On Equity (TTM),0.2144
Return On Assets (TTM),0.1369
Return On Investment (TTM),0.1612
Revenue Per Employee (TTM),374492.0
Total Debt/Total Capital (MRQ),0.21739999999999998
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),2.33
Interest Coverage (MRQ),35.79
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-20 00:00:00
theStreet since,2020-06-23 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-20 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
