,HLNE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",20.27,20.51,Valuation,0.9882983910287664
Price/Sales (TTM),8.32,12.46,Valuation,0.6677367576243981
Price/Book (MRQ),10.25,4.63,Valuation,2.213822894168467
"PEG Ratio (TTM, GAAP)",,2.67,Valuation,
Gross Profit Margin (TTM),,0.5835,Profitability,
Operating Profit Margin (TTM),0.4562,0.269,Profitability,1.695910780669145
Net Profit Margin (TTM),0.48100000000000004,0.1791,Profitability,2.685650474595198
Annual Dividend Yield,0.0215,0.0257,Dividend,0.8365758754863812
Dividend Change %,0.12,0.2049,Dividend,0.5856515373352855
"Dividend Growth Rate, 3 Years",0.18100000000000002,0.1213,Dividend,1.4921681780708986
EPS Growth (MRQ),0.0605,-0.2356,Gowth rates,-0.2567911714770798
EPS Growth (TTM),-0.1152,-0.0768,Gowth rates,1.5
Revenue Growth (MRQ),0.1319,0.0931,Gowth rates,1.4167561761546723
Revenue Growth (TTM),0.3273,0.0447,Gowth rates,7.322147651006712
Return On Equity (TTM),0.3973,0.1783,Effectiveness,2.2282669657879977
Return On Assets (TTM),0.17670000000000002,0.0492,Effectiveness,3.5914634146341466
Return On Investment (TTM),0.41259999999999997,0.1008,Effectiveness,4.0932539682539675
Revenue Per Employee (TTM),908481.0,1125238.0,Effectiveness,0.8073678635097642
Total Debt/Total Capital (MRQ),0.19510000000000002,0.5241,Financial strength,0.37225720282388863
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,0.0008,Financial strength,2.125
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),8.38,21.92,Financial strength,0.3822992700729927
