,HLNE
% Above Low,0.3335
% Held by Institutions,0.941
52-Wk Range,['55.81 - 111.27']
Annual Dividend $,1.6
Annual Dividend %,0.0215
Ask,74.82
Ask Size,200.0
B/A Ratio,3.5
B/A Size,700x200
Beta,1.0
Bid,74.02
Bid Size,700.0
Closing Price,74.42
Day Change $,0.11
Day Change %,0.0015
Day High,75.36
Day Low,73.86
Dividend Pay Date,2023-01-06 00:00:00
"EPS (TTM, GAAP)",3.67
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.40399999999999997
Last (size),246.0
Last (time),1:00p ET 11/25/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",20.27
Prev Close,74.31
Short Interest,0.0339
Today's Open,73.86
Volume,99810.0
Volume 10-day Avg,195079.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.21957040572792375
Growth 1yr High Est,-0.07356321839080449
Growth 1yr Consensus Est,-0.14656681205936412
Growth 2yr Low Est,-0.12966287870494048
Growth 2yr High Est,0.032697298993183355
Growth 2yr Consensus Est,-0.04848278985587856
Growth 5yr Low Est,-0.12966287870494048
Growth 5yr High Est,0.032697298993183355
Growth 5yr Consensus Est,-0.04848278985587856
Growth 5yr Actual/Est,0.20011059225913438
Growth 3yr Historic,0.24156689082062216
Price/Earnings (TTM),20.26755
Price/Sales (TTM),8.31763
Price/Book (MRQ),10.24957
Price/Cash Flow (TTM),16.8105
5yr Low,30.52
5yr High,116.0
5yr Avg Return,0.17426666666666665
EPS Growth 5yr,1.6247989999999999
Revenue Growth 5yr,0.153939
Dividend Growth 5yr,
Short Int Current Month,1132617.0
Short Int Prev Month,994072.0
Short Int Pct of Float,0.0338524
Days to Cover,3.72121
Float,33.4575
Shares Outstanding,53.81483
Institutions Holding Shares,286.0
FCF Growth 5yr,0.3563567426595237
"Price/Earnings (TTM, GAAP)",20.27
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4562
Net Profit Margin (TTM),0.48100000000000004
Annual Dividend Yield,0.0215
Dividend Change %,0.12
"Dividend Growth Rate, 3 Years",0.18100000000000002
EPS Growth (MRQ),0.0605
EPS Growth (TTM),-0.1152
Revenue Growth (MRQ),0.1319
Revenue Growth (TTM),0.3273
Return On Equity (TTM),0.3973
Return On Assets (TTM),0.17670000000000002
Return On Investment (TTM),0.41259999999999997
Revenue Per Employee (TTM),908481.0
Total Debt/Total Capital (MRQ),0.19510000000000002
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),8.38
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2019-03-01 00:00:00
researchTeam since,2022-03-18 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-03-18 00:00:00
cfra since,
marketEdge opinion since,
