,AQUA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",75.84,24.01,Valuation,3.1586838817159517
Price/Sales (TTM),3.08,3.06,Valuation,1.0065359477124183
Price/Book (MRQ),7.52,7.44,Valuation,1.010752688172043
"PEG Ratio (TTM, GAAP)",5.06,1.49,Valuation,3.395973154362416
Gross Profit Margin (TTM),0.3098,0.32799999999999996,Profitability,0.9445121951219514
Operating Profit Margin (TTM),0.039900000000000005,0.0198,Profitability,2.015151515151515
Net Profit Margin (TTM),0.0417,-0.0086,Profitability,-4.848837209302325
Annual Dividend Yield,,0.0143,Dividend,
Dividend Change %,,0.1666,Dividend,
"Dividend Growth Rate, 3 Years",,0.0885,Dividend,
EPS Growth (MRQ),1.3541999999999998,0.3518,Gowth rates,3.849346219442865
EPS Growth (TTM),0.40909999999999996,0.16149999999999998,Gowth rates,2.5331269349845202
Revenue Growth (MRQ),0.1489,0.196,Gowth rates,0.7596938775510204
Revenue Growth (TTM),0.1862,0.1475,Gowth rates,1.2623728813559323
Return On Equity (TTM),0.1119,0.2859,Effectiveness,0.391395592864638
Return On Assets (TTM),0.0357,0.0851,Effectiveness,0.4195064629847239
Return On Investment (TTM),0.045700000000000005,0.12490000000000001,Effectiveness,0.36589271417133706
Revenue Per Employee (TTM),386017.0,343373.0,Effectiveness,1.124191476907037
Total Debt/Total Capital (MRQ),0.5644,0.6352000000000001,Financial strength,0.8885390428211586
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0189,Financial strength,0.021164021164021166
Quick Ratio (MRQ),1.24,1.07,Financial strength,1.158878504672897
Interest Coverage (MRQ),4.67,20.9,Financial strength,0.22344497607655503
