,AQUA
% Below High,0.0953
% Held by Institutions,1.0183
52-Wk Range,['30.44 - 48.49']
Annual Dividend $,
Annual Dividend %,
Ask,46.57
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,35.0
Bid Size,100.0
Closing Price,43.87
Day Change $,-0.27
Day Change %,-0.0060999999999999995
Day High,44.33
Day Low,43.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.58
Ex-dividend Date,No dividend
Historical Volatility,0.434
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.3B
"P/E Ratio (TTM, GAAP)",75.84
Prev Close,44.14
Short Interest,0.0216
Today's Open,44.0
Volume,378841.0
Volume 10-day Avg,817134.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.32258064516129026
Growth 1yr High Est,0.4305555555555556
Growth 1yr Consensus Est,0.3765681003584229
Growth 2yr Low Est,0.22226593233674274
Growth 2yr High Est,0.3366370010787486
Growth 2yr Consensus Est,0.2794514667077457
Growth 5yr Low Est,0.14817728822449516
Growth 5yr High Est,0.22442466738583242
Growth 5yr Consensus Est,0.18630097780516378
Growth 5yr Actual/Est,0.15140441654034656
Growth 3yr Historic,0.11615833874107723
Price/Earnings (TTM),75.84454
Price/Sales (TTM),3.07637
Price/Book (MRQ),7.52161
Price/Cash Flow (TTM),26.72789
5yr Low,7.09
5yr High,49.38
5yr Avg Return,0.26536666666666664
EPS Growth 5yr,0.9598717000000001
Revenue Growth 5yr,0.0684666
Dividend Growth 5yr,
Short Int Current Month,2594046.0
Short Int Prev Month,2411696.0
Short Int Pct of Float,0.0215563
Days to Cover,3.62805
Float,120.441
Shares Outstanding,121.812
Institutions Holding Shares,413.0
FCF Growth 5yr,-0.8920252872084071
"Price/Earnings (TTM, GAAP)",75.84
"PEG Ratio (TTM, GAAP)",5.06
Gross Profit Margin (TTM),0.3098
Operating Profit Margin (TTM),0.039900000000000005
Net Profit Margin (TTM),0.0417
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.3541999999999998
EPS Growth (TTM),0.40909999999999996
Revenue Growth (MRQ),0.1489
Revenue Growth (TTM),0.1862
Return On Equity (TTM),0.1119
Return On Assets (TTM),0.0357
Return On Investment (TTM),0.045700000000000005
Revenue Per Employee (TTM),386017.0
Total Debt/Total Capital (MRQ),0.5644
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.24
Interest Coverage (MRQ),4.67
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-11-26 00:00:00
ford since,2022-07-01 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-08-17 00:00:00
marketEdge opinion since,
