,DCT
% Above Low,0.1045
% Held by Institutions,0.7363
52-Wk Range,['10.04 - 32.49']
Annual Dividend $,
Annual Dividend %,
Ask,13.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,
Bid,9.99
Bid Size,100.0
Closing Price,11.09
Day Change $,-0.01
Day Change %,-0.0009
Day High,11.12
Day Low,10.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.06
Ex-dividend Date,No dividend
Historical Volatility,0.5660000000000001
Last (size),37.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,11.1
Short Interest,0.021099999999999997
Today's Open,11.03
Volume,177167.0
Volume 10-day Avg,569247.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.8333333333333335
Growth 1yr High Est,0.625
Growth 1yr Consensus Est,0.7291666666666667
Growth 2yr Low Est,0.643939393939394
Growth 2yr High Est,0.5817307692307693
Growth 2yr Consensus Est,0.6128350815850816
Growth 5yr Low Est,0.42929292929292934
Growth 5yr High Est,0.38782051282051283
Growth 5yr Consensus Est,0.4085567210567211
Growth 5yr Actual/Est,0.3248106060606061
Growth 3yr Historic,0.17708333333333337
Price/Earnings (TTM),
Price/Sales (TTM),4.8597
Price/Book (MRQ),2.00913
Price/Cash Flow (TTM),111.5217
5yr Low,10.04
5yr High,59.4
5yr Avg Return,-0.30373333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.1408782
Dividend Growth 5yr,
Short Int Current Month,2016866.0
Short Int Prev Month,2250967.0
Short Int Pct of Float,0.0211487
Days to Cover,3.30658
Float,95.38047
Shares Outstanding,132.74
Institutions Holding Shares,225.0
FCF Growth 5yr,-0.9035499693776124
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5765
Operating Profit Margin (TTM),-0.0177
Net Profit Margin (TTM),-0.0275
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5866
EPS Growth (TTM),0.5125
Revenue Growth (MRQ),0.11539999999999999
Revenue Growth (TTM),0.1635
Return On Equity (TTM),-0.011399999999999999
Return On Assets (TTM),-0.0099
Return On Investment (TTM),-0.011000000000000001
Revenue Per Employee (TTM),160869.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
theStreet since,2021-10-15 00:00:00
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
