,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,48.0,59.4,32.49,,,,,
low,35.1,26.86,10.04,,,,,
change,0.031000000000000003,-0.3119,-0.6303,,,,,
Date,,,,2021-11-30 00:00:00,2022-02-28 00:00:00,2022-05-31 00:00:00,2022-08-31 00:00:00,Balance Sheet
Cash & Equivalents,,,,252.0,349.0,142.0,155.0,Balance Sheet
Short Term Investments,,,,96.0,0.0,224.0,118.0,Balance Sheet
Cash and Short Term Invs,,,,348.0,349.0,365.0,273.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,42.0,42.0,35.0,33.0,Balance Sheet
Prov. for Doubtful Accts,,,,-2.0,-3.0,-3.0,-3.0,Balance Sheet
"Total Receivables, Net",,,,67.0,69.0,61.0,62.0,Balance Sheet
Prepaid Expenses,,,,13.0,13.0,9.0,8.0,Balance Sheet
"Other Curr. Assets, Total",,,,4.0,5.0,4.0,5.0,Balance Sheet
Total Current Assets,,,,432.0,435.0,440.0,348.0,Balance Sheet
Buildings,,,,11.0,10.0,10.0,10.0,Balance Sheet
Machinery/Equipment,,,,14.0,14.0,15.0,17.0,Balance Sheet
Construction in Progress,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Prop./Plant/Equip.,,,,20.0,19.0,18.0,19.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,44.0,44.0,43.0,47.0,Balance Sheet
Accumulated Depreciation,,,,-13.0,-14.0,-15.0,-16.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,31.0,30.0,29.0,31.0,Balance Sheet
"Goodwill, Net",,,,272.0,272.0,272.0,355.0,Balance Sheet
Intangibles - Gross,,,,152.0,152.0,152.0,186.0,Balance Sheet
Accum. Intangible Amort.,,,,-91.0,-95.0,-99.0,-103.0,Balance Sheet
Intangibles - Net,,,,61.0,57.0,54.0,83.0,Balance Sheet
Note Rcvble - Long Term,,,,1.0,1.0,1.0,0.0,Balance Sheet
Deferred Charges,,,,14.0,14.0,14.0,15.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,1.0,1.0,1.0,1.0,Balance Sheet
Other Long Term Assets,,,,5.0,7.0,7.0,7.0,Balance Sheet
Total Assets,,,,818.0,818.0,817.0,840.0,Balance Sheet
