,DCT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),4.86,9.39,Valuation,0.5175718849840255
Price/Book (MRQ),2.01,12.63,Valuation,0.15914489311163893
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.5765,0.7206,Profitability,0.8000277546489036
Operating Profit Margin (TTM),-0.0177,0.2172,Profitability,-0.08149171270718232
Net Profit Margin (TTM),-0.0275,0.1553,Profitability,-0.17707662588538314
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.5866,-0.0752,Gowth rates,-7.800531914893617
EPS Growth (TTM),0.5125,-0.2824,Gowth rates,-1.8148016997167138
Revenue Growth (MRQ),0.11539999999999999,0.15560000000000002,Gowth rates,0.7416452442159381
Revenue Growth (TTM),0.1635,0.1906,Gowth rates,0.8578174186778594
Return On Equity (TTM),-0.011399999999999999,0.2189,Effectiveness,-0.05207857469164001
Return On Assets (TTM),-0.0099,0.10740000000000001,Effectiveness,-0.09217877094972067
Return On Investment (TTM),-0.011000000000000001,0.1387,Effectiveness,-0.07930785868781544
Revenue Per Employee (TTM),160869.0,667721.0,Effectiveness,0.24092248109614645
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
