,OUST
% Above Low,0.6118
% Held by Institutions,0.2837
52-Wk Range,['0.76 - 7.16']
Annual Dividend $,
Annual Dividend %,
Ask,1.23
Ask Size,500.0
B/A Ratio,2.2
B/A Size,1100x500
Beta,
Bid,1.22
Bid Size,1100.0
Day Change $,-0.005
Day Change %,-0.0040999999999999995
Day High,1.25
Day Low,1.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.72
Ex-dividend Date,No dividend
Historical Volatility,0.875
Last (size),100.0
Last (time),9:48a ET 11/28/22
Market Cap,226.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.23
Price,1.23
Short Interest,0.0717
Today's Open,1.25
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.17333333333333334
Growth 2yr High Est,-0.33333333333333337
Growth 2yr Consensus Est,-0.08000000000000002
Growth 5yr Low Est,0.17333333333333334
Growth 5yr High Est,-0.33333333333333337
Growth 5yr Consensus Est,-0.08000000000000002
Growth 5yr Actual/Est,-0.009855072463767989
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),5.41147
Price/Book (MRQ),1.10357
Price/Cash Flow (TTM),
5yr Low,0.76
5yr High,17.73
5yr Avg Return,-0.33303333333333335
Short Int Current Month,8852462.0
Short Int Prev Month,8602700.0
Short Int Pct of Float,0.071743
Days to Cover,5.92566
Float,123.6979
Shares Outstanding,184.5312
Institutions Holding Shares,148.0
FCF Growth 5yr,0.45141508644885403
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3019
Operating Profit Margin (TTM),-3.2929000000000004
Net Profit Margin (TTM),-2.9738
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.24059999999999998
EPS Growth (TTM),
Revenue Growth (MRQ),0.08470000000000001
Revenue Growth (TTM),
Return On Equity (TTM),-0.5858
Return On Assets (TTM),-0.4729
Return On Investment (TTM),-0.5166
Revenue Per Employee (TTM),150874.0
Total Debt/Total Capital (MRQ),0.0855
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),5.89
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-05-05 00:00:00
theStreet since,2022-05-05 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
