,OUST,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,21.62,Valuation,
Price/Sales (TTM),5.41,5.43,Valuation,0.9963167587476981
Price/Book (MRQ),1.1,5.49,Valuation,0.20036429872495448
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.3019,0.33659999999999995,Profitability,0.8969102792632205
Operating Profit Margin (TTM),-3.2929000000000004,-0.0824,Profitability,39.962378640776706
Net Profit Margin (TTM),-2.9738,-0.1173,Profitability,25.35208866155158
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),-0.24059999999999998,0.1058,Gowth rates,-2.274102079395085
EPS Growth (TTM),,-0.0147,Gowth rates,
Revenue Growth (MRQ),0.08470000000000001,0.1655,Gowth rates,0.5117824773413898
Revenue Growth (TTM),,0.1855,Gowth rates,
Return On Equity (TTM),-0.5858,0.23850000000000002,Effectiveness,-2.456184486373165
Return On Assets (TTM),-0.4729,0.0752,Effectiveness,-6.2885638297872335
Return On Investment (TTM),-0.5166,0.1041,Effectiveness,-4.962536023054755
Revenue Per Employee (TTM),150874.0,449465.0,Effectiveness,0.3356746353998643
Total Debt/Total Capital (MRQ),0.0855,0.3575,Financial strength,0.2391608391608392
Change in Debt/Total Capital Quarter over Quarter,,0.0362,Financial strength,
Quick Ratio (MRQ),5.89,1.53,Financial strength,3.8496732026143787
Interest Coverage (MRQ),,15.46,Financial strength,
