,NMIH
% Above Low,0.3744
% Held by Institutions,0.9992
52-Wk Range,['15.33 - 27.25']
Annual Dividend $,
Annual Dividend %,
Ask,23.25
Ask Size,700.0
B/A Ratio,0.2857142857142857
B/A Size,200x700
Beta,1.3
Bid,19.51
Bid Size,200.0
Closing Price,21.07
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.24
Ex-dividend Date,No dividend
Historical Volatility,0.38
Last (size),39.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",6.5
Prev Close,21.07
Short Interest,0.012
Today's Open,
Volume,97728.0
Volume 10-day Avg,307619.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.2585551330798479
Growth 1yr High Est,0.23636363636363633
Growth 1yr Consensus Est,0.24745938472174211
Growth 2yr Low Est,0.15042560279370043
Growth 2yr High Est,0.2005347593582888
Growth 2yr Consensus Est,0.1754801810759946
Growth 5yr Low Est,0.10081319509763759
Growth 5yr High Est,0.12558428170837518
Growth 5yr Consensus Est,0.11319873840300639
Growth 5yr Actual/Est,0.10296023227691276
Growth 3yr Historic,0.020613301265293316
Price/Earnings (TTM),6.50339
Price/Sales (TTM),3.41746
Price/Book (MRQ),1.15711
Price/Cash Flow (TTM),6.02184
5yr Low,8.06
5yr High,35.79
5yr Avg Return,0.09040000000000002
EPS Growth 5yr,0.20383420000000002
Revenue Growth 5yr,0.31403400000000004
Dividend Growth 5yr,
Short Int Current Month,990779.0
Short Int Prev Month,1382524.0
Short Int Pct of Float,0.011999
Days to Cover,2.33966
Float,82.59529
Shares Outstanding,83.58103
Institutions Holding Shares,314.0
FCF Growth 5yr,0.3420496125618495
"Price/Earnings (TTM, GAAP)",6.5
"PEG Ratio (TTM, GAAP)",0.45
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.76
Net Profit Margin (TTM),0.5443
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0315
EPS Growth (TTM),0.28300000000000003
Revenue Growth (MRQ),-0.0124
Revenue Growth (TTM),0.0966
Return On Equity (TTM),0.1844
Return On Assets (TTM),0.1168
Return On Investment (TTM),
Revenue Per Employee (TTM),2086275.0
Total Debt/Total Capital (MRQ),0.2059
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),13.27
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-08-30 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
