,NATI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",38.93,21.62,Valuation,1.8006475485661424
Price/Sales (TTM),3.29,5.43,Valuation,0.6058931860036832
Price/Book (MRQ),4.77,5.49,Valuation,0.8688524590163933
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.6845,0.33659999999999995,Profitability,2.03357100415924
Operating Profit Margin (TTM),0.11470000000000001,-0.0824,Profitability,-1.391990291262136
Net Profit Margin (TTM),0.0859,-0.1173,Profitability,-0.73231031543052
Annual Dividend Yield,0.0273,0.0088,Dividend,3.102272727272727
Dividend Change %,0.0385,0.0488,Dividend,0.7889344262295082
"Dividend Growth Rate, 3 Years",0.054900000000000004,0.046,Dividend,1.1934782608695653
EPS Growth (MRQ),3.9838999999999998,0.1058,Gowth rates,37.655009451795834
EPS Growth (TTM),1.6179,-0.0147,Gowth rates,-110.06122448979592
Revenue Growth (MRQ),0.08199999999999999,0.1655,Gowth rates,0.49546827794561926
Revenue Growth (TTM),0.15,0.1855,Gowth rates,0.8086253369272237
Return On Equity (TTM),0.1191,0.23850000000000002,Effectiveness,0.4993710691823899
Return On Assets (TTM),0.06849999999999999,0.0752,Effectiveness,0.9109042553191488
Return On Investment (TTM),0.08470000000000001,0.1041,Effectiveness,0.8136407300672431
Revenue Per Employee (TTM),232763.0,449465.0,Effectiveness,0.5178667971922174
Total Debt/Total Capital (MRQ),0.3357,0.3575,Financial strength,0.939020979020979
Change in Debt/Total Capital Quarter over Quarter,0.0365,0.0362,Financial strength,1.0082872928176794
Quick Ratio (MRQ),1.58,1.53,Financial strength,1.0326797385620916
Interest Coverage (MRQ),7.25,15.46,Financial strength,0.4689521345407503
