,NATI
% Below High,0.0767
% Held by Institutions,0.9308
52-Wk Range,['29.81 - 44.44']
Annual Dividend $,1.12
Annual Dividend %,0.0273
Ask,42.0
Ask Size,500.0
Ask close,43.87
B/A Ratio,0.2
B/A Size,100x500
Beta,1.1
Bid,37.51
Bid Size,100.0
Bid close,38.87
Change Since Close,-0.08| |(-0.19%)
Closing Price,41.03
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",1.05
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.35100000000000003
Last (size),40.0
Last (time),1:00p ET 11/25/22
Last Trade,40.95
Market Cap,5.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",38.93
Prev Close,41.03
Short Interest,0.0256
Today's Open,
Volume,43.0
Volume 10-day Avg,561148.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,2.1666666666666665
Growth 1yr High Est,1.8550724637681162
Growth 1yr Consensus Est,2.0108695652173916
Growth 2yr Low Est,1.1096491228070176
Growth 2yr High Est,1.1128154197013171
Growth 2yr Consensus Est,1.1112322712541673
Growth 5yr Low Est,1.1096491228070176
Growth 5yr High Est,1.1128154197013171
Growth 5yr Consensus Est,1.1112322712541673
Growth 5yr Actual/Est,0.4106511368303639
Growth 3yr Historic,-0.12296961949165286
Price/Earnings (TTM),38.92974
Price/Sales (TTM),3.28797
Price/Book (MRQ),4.7684
Price/Cash Flow (TTM),22.82342
5yr Low,20.42
5yr High,53.57
5yr Avg Return,-0.010549999999999999
EPS Growth 5yr,0.0084056
Revenue Growth 5yr,0.0365548
Dividend Growth 5yr,0.0618588
Short Int Current Month,3321156.0
Short Int Prev Month,3208273.0
Short Int Pct of Float,0.0256059
Days to Cover,5.63657
Float,129.6929
Shares Outstanding,130.5685
Institutions Holding Shares,410.0
FCF Growth 5yr,0.737386188076354
"Price/Earnings (TTM, GAAP)",38.93
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6845
Operating Profit Margin (TTM),0.11470000000000001
Net Profit Margin (TTM),0.0859
Annual Dividend Yield,0.0273
Dividend Change %,0.0385
"Dividend Growth Rate, 3 Years",0.054900000000000004
EPS Growth (MRQ),3.9838999999999998
EPS Growth (TTM),1.6179
Revenue Growth (MRQ),0.08199999999999999
Revenue Growth (TTM),0.15
Return On Equity (TTM),0.1191
Return On Assets (TTM),0.06849999999999999
Return On Investment (TTM),0.08470000000000001
Revenue Per Employee (TTM),232763.0
Total Debt/Total Capital (MRQ),0.3357
Change in Debt/Total Capital Quarter over Quarter,0.0365
Quick Ratio (MRQ),1.58
Interest Coverage (MRQ),7.25
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-10-28 00:00:00
ford since,2022-07-01 00:00:00
cfra since,
marketEdge opinion since,
