,LPX
% Above Low,0.3033
% Held by Institutions,1.0097
52-Wk Range,['48.20 - 79.77']
Annual Dividend $,0.88
Annual Dividend %,0.013999999999999999
Ask,69.28
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,61.06
Bid Size,100.0
Change Since Close,-0.27| |(-0.43%)
Closing Price,62.82
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",13.32
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.49
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,62.55
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.72
Prev Close,62.82
Short Interest,0.0759
Today's Open,
Volume,1.0
Volume 10-day Avg,988766.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.1518518518518519
Growth 1yr High Est,-0.053314121037464024
Growth 1yr Consensus Est,-0.10258298644465796
Growth 2yr Low Est,-0.4278909914281094
Growth 2yr High Est,-0.2736129204882906
Growth 2yr Consensus Est,-0.35075195595819997
Growth 5yr Low Est,-0.4278909914281094
Growth 5yr High Est,-0.2736129204882906
Growth 5yr Consensus Est,-0.35075195595819997
Growth 5yr Actual/Est,3.0382745388521304
Growth 3yr Historic,3.222486988148241
Price/Earnings (TTM),4.71547
Price/Sales (TTM),1.08764
Price/Book (MRQ),3.30902
Price/Cash Flow (TTM),3.70997
5yr Low,12.97
5yr High,79.77
5yr Avg Return,0.2147
EPS Growth 5yr,0.6850121
Revenue Growth 5yr,0.15309799999999998
Dividend Growth 5yr,
Short Int Current Month,5340737.0
Short Int Prev Month,4993088.0
Short Int Pct of Float,0.0758832
Days to Cover,4.50152
Float,70.38232
Shares Outstanding,71.69545
Institutions Holding Shares,510.0
FCF Growth 5yr,0.18771476640068005
"Price/Earnings (TTM, GAAP)",4.72
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.41250000000000003
Operating Profit Margin (TTM),0.3482
Net Profit Margin (TTM),0.2618
Annual Dividend Yield,0.013999999999999999
Dividend Change %,0.24370000000000003
"Dividend Growth Rate, 3 Years",0.12119999999999999
EPS Growth (MRQ),-0.5931000000000001
EPS Growth (TTM),-0.029900000000000003
Revenue Growth (MRQ),-0.24600000000000002
Revenue Growth (TTM),0.051
Return On Equity (TTM),0.8003
Return On Assets (TTM),0.4533
Return On Investment (TTM),0.5539000000000001
Revenue Per Employee (TTM),862708.0
Total Debt/Total Capital (MRQ),0.2023
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),1.54
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-02 00:00:00
theStreet since,2020-11-04 00:00:00
newConstructs since,2022-11-28 00:00:00
cfra since,2022-11-02 00:00:00
ford since,2022-06-24 00:00:00
marketEdge opinion since,
