,FMC
Price/Earnings (TTM),22.41638
Price/Sales (TTM),2.90893
Price/Book (MRQ),5.10391
Price/Cash Flow (TTM),18.17522
5yr Low,56.77
5yr High,140.99
5yr Avg Return,0.06958333333333333
EPS Growth 5yr,0.4562879
Revenue Growth 5yr,0.1472196
Dividend Growth 5yr,0.2380878
Short Int Current Month,1360101.0
Short Int Prev Month,1858404.0
Short Int Pct of Float,0.010929199999999998
Days to Cover,1.45238
Float,124.4597
Shares Outstanding,125.9659
Institutions Holding Shares,899.0
% Held by Institutions,0.9100539999999999
FCF Growth 5yr,-0.959259327548524
