,FMC
% Below High,0.08380000000000001
% Held by Institutions,0.9101
52-Wk Range,['98.24 - 140.99']
Annual Dividend $,2.12
Annual Dividend %,0.016399999999999998
Ask,140.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,129.21
Bid Size,100.0
Closing Price,129.18
Day Change $,0.93
Day Change %,0.0073
Day High,129.56
Day Low,128.01
Dividend Pay Date,2022-10-20 00:00:00
"EPS (TTM, GAAP)",5.76
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.29
Last (size),13.0
Last (time),5:00p ET 11/25/22
Market Cap,16.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.42
Prev Close,128.25
Short Interest,0.0109
Today's Open,128.16
Volume,172153.0
Volume 10-day Avg,636013.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.09402985074626868
Growth 1yr High Est,0.08510638297872353
Growth 1yr Consensus Est,0.0895681168624961
Growth 2yr Low Est,0.09067113274011929
Growth 2yr High Est,0.1111806424697539
Growth 2yr Consensus Est,0.10092588760493659
Growth 5yr Low Est,0.0888851659305882
Growth 5yr High Est,0.09050221277844783
Growth 5yr Consensus Est,0.08969368935451802
Growth 5yr Actual/Est,0.08270402840203966
Growth 3yr Historic,0.0339920046900159
Price/Earnings (TTM),22.41638
Price/Sales (TTM),2.90893
Price/Book (MRQ),5.10391
Price/Cash Flow (TTM),18.17522
5yr Low,56.77
5yr High,140.99
5yr Avg Return,0.06958333333333333
EPS Growth 5yr,0.4562879
Revenue Growth 5yr,0.1472196
Dividend Growth 5yr,0.2380878
Short Int Current Month,1360101.0
Short Int Prev Month,1858404.0
Short Int Pct of Float,0.010929199999999998
Days to Cover,1.45238
Float,124.4597
Shares Outstanding,125.9659
Institutions Holding Shares,899.0
FCF Growth 5yr,-0.959259327548524
"Price/Earnings (TTM, GAAP)",22.42
"PEG Ratio (TTM, GAAP)",2.47
Gross Profit Margin (TTM),0.4033
Operating Profit Margin (TTM),0.1838
Net Profit Margin (TTM),0.1298
Annual Dividend Yield,0.016399999999999998
Dividend Change %,0.0909
"Dividend Growth Rate, 3 Years",0.4275
EPS Growth (MRQ),-0.0535
EPS Growth (TTM),0.21550000000000002
Revenue Growth (MRQ),-0.0517
Revenue Growth (TTM),0.1693
Return On Equity (TTM),0.2354
Return On Assets (TTM),0.06860000000000001
Return On Investment (TTM),0.1032
Revenue Per Employee (TTM),874047.0
Total Debt/Total Capital (MRQ),0.5263
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),0.93
Interest Coverage (MRQ),5.09
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-05-06 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-06-15 00:00:00
ford since,2022-09-30 00:00:00
marketEdge opinion since,
