,DLX
% Above Low,0.2309
% Held by Institutions,0.8765000000000001
52-Wk Range,['15.30 - 36.20']
Annual Dividend $,1.2
Annual Dividend %,0.0637
Ask,20.86
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.5
Bid,16.8
Bid Size,1000.0
Closing Price,18.83
Day Change $,0.03
Day Change %,0.0016
Day High,19.1
Day Low,18.79
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",1.39
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.397
Last (size),21.0
Last (time),5:00p ET 11/25/22
Market Cap,813.5M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.53
Prev Close,18.8
Short Interest,0.0359
Today's Open,18.79
Volume,84339.0
Volume 10-day Avg,185384.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.1340425531914894
Growth 1yr High Est,-0.17107942973523416
Growth 1yr Consensus Est,-0.15256099146336177
Growth 2yr Low Est,-0.11861832819279633
Growth 2yr High Est,-0.05728418661208884
Growth 2yr Consensus Est,-0.08795125740244258
Growth 5yr Low Est,-0.1356533892263851
Growth 5yr High Est,-0.09529606832888937
Growth 5yr Consensus Est,-0.11547472877763723
Growth 5yr Actual/Est,-0.12064966805498523
Growth 3yr Historic,-0.07362551088738542
Price/Earnings (TTM),13.5344
Price/Sales (TTM),0.36187
Price/Book (MRQ),1.34996
Price/Cash Flow (TTM),3.45434
5yr Low,15.3
5yr High,78.87
5yr Avg Return,-0.13463333333333333
EPS Growth 5yr,-0.20649930000000002
Revenue Growth 5yr,0.0180624
Dividend Growth 5yr,
Short Int Current Month,1532127.0
Short Int Prev Month,1726059.0
Short Int Pct of Float,0.0359105
Days to Cover,6.60175
Float,42.73278
Shares Outstanding,43.13611
Institutions Holding Shares,247.0
FCF Growth 5yr,0.35336268669602006
"Price/Earnings (TTM, GAAP)",13.53
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5435
Operating Profit Margin (TTM),0.0746
Net Profit Margin (TTM),0.0269
Annual Dividend Yield,0.0637
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3335
EPS Growth (TTM),-0.1962
Revenue Growth (MRQ),-0.0141
Revenue Growth (TTM),0.1776
Return On Equity (TTM),0.1038
Return On Assets (TTM),0.0202
Return On Investment (TTM),0.025
Revenue Per Employee (TTM),355549.0
Total Debt/Total Capital (MRQ),0.7351000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.86
Interest Coverage (MRQ),2.25
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-11-09 00:00:00
