,DLX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.53,49.52,Valuation,0.2732229402261712
Price/Sales (TTM),0.36,4.95,Valuation,0.07272727272727272
Price/Book (MRQ),1.35,8.39,Valuation,0.1609058402860548
"PEG Ratio (TTM, GAAP)",,29.16,Valuation,
Gross Profit Margin (TTM),0.5435,0.3995,Profitability,1.360450563204005
Operating Profit Margin (TTM),0.0746,-0.031400000000000004,Profitability,-2.3757961783439487
Net Profit Margin (TTM),0.0269,-0.042300000000000004,Profitability,-0.635933806146572
Annual Dividend Yield,0.0637,0.011000000000000001,Dividend,5.790909090909091
Dividend Change %,,0.0031,Dividend,
"Dividend Growth Rate, 3 Years",,0.076,Dividend,
EPS Growth (MRQ),-0.3335,0.2798,Gowth rates,-1.1919228020014296
EPS Growth (TTM),-0.1962,0.017,Gowth rates,-11.541176470588235
Revenue Growth (MRQ),-0.0141,6.526000000000001,Gowth rates,-0.002160588415568495
Revenue Growth (TTM),0.1776,0.4152,Gowth rates,0.4277456647398844
Return On Equity (TTM),0.1038,0.24,Effectiveness,0.43250000000000005
Return On Assets (TTM),0.0202,0.08750000000000001,Effectiveness,0.23085714285714282
Return On Investment (TTM),0.025,0.11080000000000001,Effectiveness,0.22563176895306858
Revenue Per Employee (TTM),355549.0,300327.0,Effectiveness,1.1838729118594067
Total Debt/Total Capital (MRQ),0.7351000000000001,0.4451,Financial strength,1.6515389800044935
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.0070999999999999995,Financial strength,-0.08450704225352113
Quick Ratio (MRQ),0.86,1.37,Financial strength,0.6277372262773722
Interest Coverage (MRQ),2.25,18.65,Financial strength,0.12064343163538875
