,AFRM
% Above Low,0.0959
% Held by Institutions,0.8095
52-Wk Range,['11.94 - 140.49']
Annual Dividend $,
Annual Dividend %,
Ask,13.08
Ask Size,4600.0
B/A Ratio,1.9130434782608696
B/A Size,8800x4600
Beta,
Bid,13.03
Bid Size,8800.0
Closing Price,13.08
Day Change $,-0.23
Day Change %,-0.0173
Day High,13.22
Day Low,12.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.27
Ex-dividend Date,No dividend
Historical Volatility,1.2670000000000001
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,3.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,13.31
Short Interest,0.1938
Today's Open,13.15
Volume,5798060.0
Volume 10-day Avg,16717767.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.3289036544850499
Growth 1yr High Est,19.181818181818183
Growth 1yr Consensus Est,9.755360918151617
Growth 2yr Low Est,0.10195182724252494
Growth 2yr High Est,9.257575757575758
Growth 2yr Consensus Est,4.679763792409141
Growth 5yr Low Est,0.10195182724252494
Growth 5yr High Est,9.257575757575758
Growth 5yr Consensus Est,4.679763792409141
Growth 5yr Actual/Est,0.027412268887039144
Growth 3yr Historic,-0.025735294117647117
Price/Earnings (TTM),
Price/Sales (TTM),3.13008
Price/Book (MRQ),1.47714
Price/Cash Flow (TTM),
5yr Low,11.94
5yr High,176.65
5yr Avg Return,-0.38275000000000003
Short Int Current Month,42169219.0
Short Int Prev Month,40900883.0
Short Int Pct of Float,0.19381810000000002
Days to Cover,2.1252
Float,217.5869
Shares Outstanding,290.1501
Institutions Holding Shares,479.0
FCF Growth 5yr,0.01733121418183396
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.8144
Net Profit Margin (TTM),-0.5378000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.335
EPS Growth (TTM),0.2902
Revenue Growth (MRQ),-0.035
Revenue Growth (TTM),0.40759999999999996
Return On Equity (TTM),-0.264
Return On Assets (TTM),-0.1038
Return On Investment (TTM),-0.11140000000000001
Revenue Per Employee (TTM),475110.0
Total Debt/Total Capital (MRQ),0.6222
Change in Debt/Total Capital Quarter over Quarter,0.0051
Quick Ratio (MRQ),
Interest Coverage (MRQ),-11.58
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-04-29 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-02-15 00:00:00
cfra since,
marketEdge opinion since,
