,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,176.65,102.21,,,,,
low,46.5,11.94,,,,,
change,0.1063,-0.8718000000000001,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,2567.0,2262.0,1255.0,1530.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,137.0,156.0,158.0,Balance Sheet
Prov. for Doubtful Accts,,,,-12.0,-14.0,-10.0,Balance Sheet
"Total Receivables, Net",,,135.0,125.0,142.0,148.0,Balance Sheet
Prepaid Expenses,,,37.0,35.0,35.0,15.0,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Buildings,,,,,16.0,16.0,Balance Sheet
Machinery/Equipment,,,,,205.0,253.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,61.0,59.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,282.0,329.0,Balance Sheet
Accumulated Depreciation,,,,,-60.0,-73.0,Balance Sheet
Prop./Plant/Equip. - Net,,,169.0,194.0,222.0,256.0,Balance Sheet
"Goodwill, Net",,,541.0,547.0,540.0,525.0,Balance Sheet
Intangibles - Gross,,,82.0,83.0,108.0,107.0,Balance Sheet
Accum. Intangible Amort.,,,-16.0,-22.0,-29.0,-36.0,Balance Sheet
Intangibles - Net,,,66.0,61.0,79.0,71.0,Balance Sheet
Long Term Investments,,,506.0,650.0,1639.0,1280.0,Balance Sheet
Note Rcvble - Long Term,,,2285.0,2358.0,2365.0,2546.0,Balance Sheet
Deferred Charges,,,24.0,23.0,37.0,32.0,Balance Sheet
Disct. Ops. - LT Asset,,,27.0,4.0,3.0,7.0,Balance Sheet
Restricted Cash - LT,,,247.0,414.0,296.0,383.0,Balance Sheet
Other Assets,,,347.0,359.0,361.0,371.0,Balance Sheet
"Other Assets, Total",,,347.0,359.0,361.0,371.0,Balance Sheet
Total Assets,,,6952.0,7032.0,6974.0,7165.0,Balance Sheet
Accounts Payable,,,46.0,49.0,33.0,35.0,Balance Sheet
Accrued Expenses,,,142.0,115.0,140.0,130.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,72.0,36.0,71.0,91.0,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Total Long Term Debt,,,3928.0,4054.0,4007.0,4221.0,Balance Sheet
Total Debt,,,3928.0,4054.0,4007.0,4221.0,Balance Sheet
"Other Liabilities, Total",,,297.0,201.0,105.0,125.0,Balance Sheet
Total Liabilities,,,4484.0,4456.0,4356.0,4602.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,3829.0,3988.0,4231.0,4455.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-1365.0,-1420.0,-1606.0,-1857.0,Balance Sheet
"Other Equity, Total",,,4.0,8.0,-7.0,-34.0,Balance Sheet
Total Equity,,,2468.0,2576.0,2618.0,2563.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,6952.0,7032.0,6974.0,7165.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,222.0,226.0,227.0,229.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,61.0,60.0,60.0,60.0,Balance Sheet
Ttl Comm. Shares Outs.,,,283.0,286.0,287.0,289.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,303321.0,302278.0,308852.0,298029.0,Income Statement
Selling/Gen/Admin Expense,,,333069.0,353955.0,398097.0,404357.0,Income Statement
Labor & Related Expense,,,88537.0,98387.0,110870.0,119808.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,421606.0,452342.0,508967.0,524165.0,Income Statement
"Inter Expense,Net Operatng",,,17700.0,15824.0,19417.0,25066.0,Income Statement
Impair-Assets Held for Use,,,,,0.0,,Income Statement
Other Unusual Expnse (In),,,7575.0,-5631.0,-14997.0,-27985.0,Income Statement
Unusual Expense (Income),,,7575.0,-5631.0,-14997.0,-27985.0,Income Statement
"Other Operat Expse, Total",,,52640.0,66294.0,72691.0,64250.0,Income Statement
Total Operating Expense,,,499521.0,528829.0,586078.0,585496.0,Income Statement
Total Operating Income,,,-196200.0,-226551.0,-277226.0,-287467.0,Income Statement
"Other, Net",,,36741.0,172139.0,72710.0,36018.0,Income Statement
Income Before Tax,,,-159459.0,-54412.0,-204516.0,-251449.0,Income Statement
Income Tax - Total,,,276.0,259.0,-18120.0,-180.0,Income Statement
Income After Tax,,,-159735.0,-54671.0,-186396.0,-251269.0,Income Statement
Net Inc Before Extra Items,,,-159735.0,-54671.0,-186396.0,-251269.0,Income Statement
Total Net Income,,,-159735.0,-54671.0,-186396.0,-251269.0,Income Statement
Total Adjust to Net Income,,,,,0.0,,Income Statement
Income Available to Common Excl. Extra. Items,,,-159735.0,-54671.0,-186396.0,-251269.0,Income Statement
Income Available to Common Incl. Extra. Items,,,-159735.0,-54671.0,-186396.0,-251269.0,Income Statement
Basic/Primary Weighted Average Shares,,,281534.0,285642.0,288106.0,290929.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,-0.57,-0.19,-0.65,-0.86,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,-0.57,-0.19,-0.65,-0.86,Income Statement
Diluted Weighted Average Shares,,,281534.0,285642.0,288106.0,290929.0,Income Statement
Diluted EPS Excl. Extra. Items,,,-0.57,-0.19,-0.65,-0.86,Income Statement
Diluted EPS Incl. Extra. Items,,,-0.57,-0.19,-0.65,-0.86,Income Statement
Div/Share-ComStockPrimIssue,,,0.0,0.0,,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,17700.0,15824.0,19417.0,25066.0,Income Statement
"Depreciat/Amort, Suppl",,,6464.0,7602.0,10015.0,13482.0,Income Statement
Total Special Items,,,7575.0,-5631.0,-14997.0,-27985.0,Income Statement
Normalzd Income Before Tax,,,-151884.0,-60043.0,-219513.0,-279434.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,2651.0,-1971.0,-5249.0,-9795.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,2927.0,-1712.0,-23369.0,-9975.0,Income Statement
Normalized Income After Tax,,,-154811.0,-58331.0,-196144.0,-269459.0,Income Statement
Normalzd Inc Avail to Common,,,-154811.0,-58331.0,-196144.0,-269459.0,Income Statement
Basic Normalized EPS,,,-0.55,-0.2,-0.68,-0.93,Income Statement
Diluted Normalized EPS,,,-0.55,-0.2,-0.68,-0.93,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,-466.0,-521.0,-707.0,-251.0,Cash Flow
Depreciation/Depletion,,,23.0,36.0,53.0,21.0,Cash Flow
Unusual Items,,,-89.0,-141.0,-196.0,-64.0,Cash Flow
Other Non-Cash Items,,,422.0,532.0,698.0,332.0,Cash Flow
Non-Cash Items,,,333.0,391.0,502.0,268.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,0.0,0.0,0.0,0.0,Cash Flow
"Cash Interest Pd, Suppl",,,23.0,34.0,52.0,23.0,Cash Flow
Accounts Receivable,,,-48.0,-42.0,-63.0,-7.0,Cash Flow
Other Assets,,,65.0,28.0,-15.0,-3.0,Cash Flow
Accounts Payable,,,9.0,-23.0,-3.0,21.0,Cash Flow
Accrued Expenses,,,9.0,29.0,71.0,2.0,Cash Flow
Changes in Working Capital,,,35.0,-9.0,-10.0,13.0,Cash Flow
Total Cash from Operations,,,-75.0,-103.0,-162.0,51.0,Cash Flow
Purchase of Fixed Assets,,,-38.0,-59.0,-86.0,-31.0,Cash Flow
Purchase/Acq of Intangibles,,,,,-25.0,,Cash Flow
Capital Expenditures,,,-38.0,-59.0,-112.0,-31.0,Cash Flow
Acquisition of Business,,,-6.0,-6.0,-6.0,0.0,Cash Flow
Sale/Maturity of Investment,,,59.0,192.0,311.0,464.0,Cash Flow
Purchase of Investments,,,-512.0,-770.0,-1841.0,-105.0,Cash Flow
Other Investing Cash Flow,,,-323.0,-342.0,-363.0,-211.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,-781.0,-926.0,-1900.0,148.0,Cash Flow
Total Cash from Investing,,,-820.0,-986.0,-2011.0,117.0,Cash Flow
Financing Cash Flow Items,,,-121.0,-175.0,-199.0,-35.0,Cash Flow
Sale/Issuance of Common,,,60.0,0.0,74.0,1.0,Cash Flow
Repurch/Retirement Common,,,0.0,0.0,0.0,0.0,Cash Flow
"Common Stock, Net",,,60.0,0.0,74.0,1.0,Cash Flow
Sale/Issuance of Preferred,,,0.0,0.0,0.0,,Cash Flow
Repurch/Retirement Preferd,,,,0.0,0.0,,Cash Flow
"Preferred Stock, Net",,,0.0,0.0,0.0,,Cash Flow
Options Exercised,,,,68.0,,,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,60.0,68.0,74.0,1.0,Cash Flow
Total Debt Issued,,,3702.0,4980.0,6805.0,1444.0,Cash Flow
Total Debt Reduction,,,-1630.0,-2807.0,-4643.0,-1210.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,2072.0,2173.0,2162.0,233.0,Cash Flow
Total Cash From Financing,,,2010.0,2066.0,2037.0,200.0,Cash Flow
Foreign Exchange Effects,,,7.0,6.0,-5.0,-5.0,Cash Flow
Net Change in Cash,,,1122.0,983.0,-142.0,363.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,1693.0,1693.0,1693.0,1551.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,2815.0,2676.0,1551.0,1914.0,Cash Flow
"Depreciation, Supplemental",,,23.0,36.0,53.0,21.0,Cash Flow
Free Cash Flow,,,-113.0,-162.0,-274.0,20.0,
FCF Growth,,,,0.4336283185840708,0.691358024691358,-1.072992700729927,
