,MKL
Price/Earnings (TTM),
Price/Sales (TTM),1.5653
Price/Book (MRQ),1.50218
Price/Cash Flow (TTM),85.50958
5yr Low,710.52
5yr High,1519.25
5yr Avg Return,0.038200000000000005
EPS Growth 5yr,0.41361159999999997
Revenue Growth 5yr,0.1793355
Dividend Growth 5yr,
Short Int Current Month,108594.0
Short Int Prev Month,98960.0
Short Int Pct of Float,0.008244099999999999
Days to Cover,2.52216
Float,13.17428
Shares Outstanding,13.4504
Institutions Holding Shares,849.0
% Held by Institutions,0.768411
FCF Growth 5yr,0.4882901683377081
