,MKL
% Below High,0.1411
% Held by Institutions,0.7684000000000001
52-Wk Range,"['1,064.09 - 1,519.25']"
Annual Dividend $,
Annual Dividend %,
Ask,1330.0
Ask Size,20.0
B/A Ratio,0.5
B/A Size,10x20
Beta,0.8
Bid,1125.0
Bid Size,10.0
Change Since Close,-39.15| |(-3.00%)
Closing Price,1304.92
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-9.88
Ex-dividend Date,No dividend
Historical Volatility,0.249
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,1265.77
Market Cap,17.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,1304.92
Short Interest,0.008199999999999999
Today's Open,
Volume,1.0
Volume 10-day Avg,32063.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.8099547511312217
Growth 1yr High Est,0.8987370838117108
Growth 1yr Consensus Est,0.8543459174714663
Growth 2yr Low Est,0.49664404223227754
Growth 2yr High Est,0.4691411867238503
Growth 2yr Consensus Est,0.4828926144780639
Growth 5yr Low Est,0.24832202111613877
Growth 5yr High Est,0.23457059336192515
Growth 5yr Consensus Est,0.24144630723903196
Growth 5yr Actual/Est,0.48212614097356127
Growth 3yr Historic,0.41713831462690143
Price/Earnings (TTM),
Price/Sales (TTM),1.5653
Price/Book (MRQ),1.50218
Price/Cash Flow (TTM),85.50958
5yr Low,710.52
5yr High,1519.25
5yr Avg Return,0.038200000000000005
EPS Growth 5yr,0.41361159999999997
Revenue Growth 5yr,0.1793355
Dividend Growth 5yr,
Short Int Current Month,108594.0
Short Int Prev Month,98960.0
Short Int Pct of Float,0.008244099999999999
Days to Cover,2.52216
Float,13.17428
Shares Outstanding,13.4504
Institutions Holding Shares,849.0
FCF Growth 5yr,0.4882901683377081
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0017000000000000001
Net Profit Margin (TTM),0.005699999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.0506
EPS Growth (TTM),-1.057
Revenue Growth (MRQ),0.7099
Revenue Growth (TTM),-0.099
Return On Equity (TTM),-0.01
Return On Assets (TTM),0.0014000000000000002
Return On Investment (TTM),
Revenue Per Employee (TTM),552365.0
Total Debt/Total Capital (MRQ),0.24300000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-08 00:00:00
theStreet since,2022-08-08 00:00:00
cfra since,2021-02-12 00:00:00
ford since,2022-08-12 00:00:00
marketEdge opinion since,
