,FBC
Price/Earnings (TTM),7.50479
Price/Sales (TTM),1.48327
Price/Book (MRQ),0.77387
Price/Cash Flow (TTM),
5yr Low,16.76
5yr High,56.77
5yr Avg Return,0.03608333333333333
EPS Growth 5yr,0.3025256
Revenue Growth 5yr,0.1420097
Dividend Growth 5yr,
Short Int Current Month,2530875.0
Short Int Prev Month,1386986.0
Short Int Pct of Float,0.0487265
Days to Cover,1.4516
Float,51.93045
Shares Outstanding,53.33694
Institutions Holding Shares,286.0
% Held by Institutions,0.88346
FCF Growth 5yr,-0.41796357818276
