,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,30.8,33.88,46.88,52.03,,,,,
low,25.65,10.08,32.14,31.67,,,,,
change,0.15560000000000002,0.1307,0.3191,-0.17920000000000003,,,,,
Date,,,,,2021-12-31 00:00:00,2022-04-01 00:00:00,2022-07-01 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,1074.0,1078.0,523.0,569.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,353.0,363.0,392.0,409.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-21.0,-20.0,-20.0,-17.0,Balance Sheet
"Total Receivables, Net",,,,,332.0,343.0,373.0,392.0,Balance Sheet
Invent. - Finished Goods,,,,,214.0,228.0,230.0,235.0,Balance Sheet
Invent. - Work In Progress,,,,,22.0,24.0,27.0,27.0,Balance Sheet
Invent. - Raw Materials,,,,,88.0,88.0,87.0,87.0,Balance Sheet
Inventories - Other,,,,,-61.0,-59.0,-58.0,-58.0,Balance Sheet
Total Inventory,,,,,264.0,280.0,286.0,291.0,Balance Sheet
Prepaid Expenses,,,,,154.0,197.0,202.0,114.0,Balance Sheet
"Other Curr. Assets, Total",,,,,12.0,10.0,4.0,0.0,Balance Sheet
Total Current Assets,,,,,1836.0,1909.0,1388.0,1366.0,Balance Sheet
Buildings,,,,,169.0,161.0,157.0,155.0,Balance Sheet
Land/Improvements,,,,,11.0,11.0,11.0,10.0,Balance Sheet
Machinery/Equipment,,,,,355.0,360.0,360.0,353.0,Balance Sheet
Construction in Progress,,,,,46.0,49.0,50.0,69.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,128.0,127.0,131.0,132.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,708.0,708.0,708.0,720.0,Balance Sheet
Accumulated Depreciation,,,,,-315.0,-317.0,-313.0,-311.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,392.0,391.0,395.0,409.0,Balance Sheet
"Goodwill, Net",,,,,3132.0,3091.0,3390.0,3400.0,Balance Sheet
Intangibles - Net,,,,,1046.0,1007.0,1076.0,1064.0,Balance Sheet
Other Long Term Assets,,,,,168.0,175.0,212.0,173.0,Balance Sheet
Total Assets,,,,,6574.0,6572.0,6461.0,6412.0,Balance Sheet
Accounts Payable,,,,,186.0,181.0,183.0,190.0,Balance Sheet
Accrued Expenses,,,,,458.0,443.0,448.0,387.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,432.0,508.0,509.0,579.0,Balance Sheet
Customer Advances,,,,,60.0,73.0,71.0,71.0,Balance Sheet
Income Taxes Payable,,,,,48.0,48.0,44.0,30.0,Balance Sheet
Discontinued Operations,,,,,4.0,2.0,2.0,0.0,Balance Sheet
Other Current Liabilities,,,,,20.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,132.0,124.0,117.0,102.0,Balance Sheet
Total Current Liabilities,,,,,1208.0,1256.0,1256.0,1258.0,Balance Sheet
Total Long Term Debt,,,,,883.0,877.0,864.0,852.0,Balance Sheet
Total Debt,,,,,1316.0,1385.0,1373.0,1431.0,Balance Sheet
Minority Interest,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Pension Benefits - Underfunded,,,,,42.0,40.0,39.0,37.0,Balance Sheet
Other LT Liabilities,,,,,383.0,369.0,286.0,307.0,Balance Sheet
Discont. Ops. - Lblts,,,,,0.0,,,,Balance Sheet
