,HOOD
% Above Low,0.3789
% Held by Institutions,0.6620999999999999
52-Wk Range,['6.81 - 29.22']
Annual Dividend $,
Annual Dividend %,
Ask,9.39
Ask Size,3800.0
B/A Ratio,0.02631578947368421
B/A Size,100x3800
Beta,
Bid,9.35
Bid Size,100.0
Closing Price,9.39
Day Change $,-0.07
Day Change %,-0.0074
Day High,9.43
Day Low,9.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.49
Ex-dividend Date,No dividend
Historical Volatility,0.843
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,8.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.46
Short Interest,0.060700000000000004
Today's Open,9.33
Volume,1823816.0
Volume 10-day Avg,13920052.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.891566265060241
Growth 1yr High Est,-0.733160621761658
Growth 1yr Consensus Est,-0.8123634434109495
Growth 2yr Low Est,-0.5697147564617444
Growth 2yr High Est,-0.9102696312691785
Growth 2yr Consensus Est,-0.7399921938654614
Growth 5yr Low Est,-0.5697147564617444
Growth 5yr High Est,-0.9102696312691785
Growth 5yr Consensus Est,-0.7399921938654614
Growth 5yr Actual/Est,-0.724340787716956
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),6.21064
Price/Book (MRQ),1.19448
Price/Cash Flow (TTM),
5yr Low,6.81
5yr High,85.0
5yr Avg Return,-0.5062
Short Int Current Month,41726762.0
Short Int Prev Month,34616391.0
Short Int Pct of Float,0.060743799999999994
Days to Cover,1.90215
Float,699.6133
Shares Outstanding,886.7605
Institutions Holding Shares,359.0
FCF Growth 5yr,-1.4123121698244825
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9079
Operating Profit Margin (TTM),-0.9528
Net Profit Margin (TTM),-0.9586
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4118
EPS Growth (TTM),
Revenue Growth (MRQ),0.1352
Revenue Growth (TTM),
Return On Equity (TTM),-0.1793
Return On Assets (TTM),-0.058499999999999996
Return On Investment (TTM),-0.1759
Revenue Per Employee (TTM),352819.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-11-11 00:00:00
researchTeam since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
