,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,85.0,18.94,,,,,
low,16.68,6.81,,,,,
change,-0.5326,-0.4798,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,10246.0,10649.0,9382.0,9141.0,Balance Sheet
Short Term Investments,,,27.0,40.0,46.0,32.0,Balance Sheet
Cash and Short Term Invs,,,10273.0,10689.0,9428.0,9173.0,Balance Sheet
"Trade Accts Recvble, Gross",,,6679.0,,,,Balance Sheet
Prov. for Doubtful Accts,,,-40.0,,,,Balance Sheet
"Total Receivables, Net",,,6727.0,5339.0,4235.0,4121.0,Balance Sheet
Prepaid Expenses,,,92.0,75.0,88.0,80.0,Balance Sheet
Restricted Cash - Current,,,2162.0,2223.0,1586.0,1230.0,Balance Sheet
Other Current Assets,,,29.0,29.0,8708.0,9541.0,Balance Sheet
"Other Curr. Assets, Total",,,2191.0,2252.0,10294.0,10771.0,Balance Sheet
Total Current Assets,,,19284.0,18355.0,24045.0,24145.0,Balance Sheet
Buildings,,,64.0,,,,Balance Sheet
Machinery/Equipment,,,55.0,,,,Balance Sheet
Construction in Progress,,,44.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,151.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,315.0,,,,Balance Sheet
Accumulated Depreciation,,,-39.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,276.0,321.0,298.0,251.0,Balance Sheet
"Goodwill, Net",,,101.0,100.0,100.0,100.0,Balance Sheet
Intangibles - Net,,,34.0,32.0,30.0,27.0,Balance Sheet
Deferred Charges,,,,35.0,37.0,27.0,Balance Sheet
Restricted Cash - LT,,,24.0,24.0,22.0,22.0,Balance Sheet
Other Long Term Assets,,,51.0,5.0,16.0,29.0,Balance Sheet
Total Assets,,,19769.0,18872.0,24548.0,24601.0,Balance Sheet
Accounts Payable,,,6476.0,7149.0,5795.0,5396.0,Balance Sheet
Payable/Accrued,,,252.0,249.0,243.0,203.0,Balance Sheet
Accrued Expenses,,,22.0,23.0,22.0,22.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,1.0,,,,Balance Sheet
Security Deposits,,,,2151.0,1367.0,1423.0,Balance Sheet
Other Current Liabilities,,,5596.0,2009.0,9972.0,10465.0,Balance Sheet
"Other Curr. Lblts, Total",,,5597.0,4160.0,11339.0,11888.0,Balance Sheet
Total Current Liabilities,,,12347.0,11581.0,17399.0,17509.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,129.0,159.0,131.0,137.0,Balance Sheet
