,PHAT
% Above Low,0.5685
% Held by Institutions,0.7570999999999999
52-Wk Range,['6.10 - 20.30']
Annual Dividend $,
Annual Dividend %,
Ask,9.62
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,9.5
Bid Size,200.0
Day Change $,0.03
Day Change %,0.0031
Day High,9.51
Day Low,9.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.84
Ex-dividend Date,No dividend
Historical Volatility,0.927
Last (size),18.0
Last (time),10:43a ET 11/28/22
Market Cap,397.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,9.53
Price,9.56
Short Interest,0.0535
Today's Open,9.51
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.2458233890214796
Growth 1yr High Est,0.27105263157894743
Growth 1yr Consensus Est,0.2584380103002135
Growth 2yr Low Est,0.27329483627319195
Growth 2yr High Est,0.0961888416693909
Growth 2yr Consensus Est,0.18474183897129143
Growth 5yr Low Est,0.27329483627319195
Growth 5yr High Est,0.0961888416693909
Growth 5yr Consensus Est,0.18474183897129143
Growth 5yr Actual/Est,-0.10803286703110843
Growth 3yr Historic,-0.20614854315431774
5yr Low,6.1
5yr High,64.54
5yr Avg Return,-0.11985
Short Int Current Month,1688980.0
Short Int Prev Month,1836205.0
Short Int Pct of Float,0.053452400000000004
Days to Cover,11.91949
Float,32.01625
Shares Outstanding,41.62085
Institutions Holding Shares,144.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
Price/Sales (TTM),
Price/Book (MRQ),
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0108
EPS Growth (TTM),0.0817
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-4.6329
Return On Assets (TTM),-0.8296
Return On Investment (TTM),-0.9404000000000001
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),1.1543
Change in Debt/Total Capital Quarter over Quarter,0.015300000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),-4.97
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-08-12 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
