,PHAT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.92,Valuation,
Price/Sales (TTM),,18.11,Valuation,
Price/Book (MRQ),,11.51,Valuation,
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),,0.6773,Profitability,
Operating Profit Margin (TTM),,-0.8239000000000001,Profitability,
Net Profit Margin (TTM),,-0.8640000000000001,Profitability,
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),0.0108,0.0883,Gowth rates,0.12231030577576445
EPS Growth (TTM),0.0817,0.5870000000000001,Gowth rates,0.1391822827938671
Revenue Growth (MRQ),,0.0441,Gowth rates,
Revenue Growth (TTM),,0.1761,Gowth rates,
Return On Equity (TTM),-4.6329,0.30160000000000003,Effectiveness,-15.361074270557028
Return On Assets (TTM),-0.8296,0.092,Effectiveness,-9.017391304347827
Return On Investment (TTM),-0.9404000000000001,0.13820000000000002,Effectiveness,-6.804630969609262
Revenue Per Employee (TTM),0.0,1425813.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),1.1543,0.4169,Financial strength,2.768769489086112
Change in Debt/Total Capital Quarter over Quarter,0.015300000000000001,0.0,Financial strength,inf
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),-4.97,26.08,Financial strength,-0.1905674846625767
