,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,47.84,64.54,50.78,20.3,,,,,
low,18.51,22.06,17.42,6.1,,,,,
change,0.384,0.0692,-0.4128,-0.5197999999999999,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,183259.0,138090.0,207392.0,196838.0,Balance Sheet
Prepaid Expenses,,,,,3267.0,7651.0,1865.0,975.0,Balance Sheet
Total Current Assets,,,,,186526.0,145741.0,209257.0,197813.0,Balance Sheet
Buildings,,,,,76.0,85.0,85.0,109.0,Balance Sheet
Machinery/Equipment,,,,,646.0,703.0,904.0,940.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,2694.0,2695.0,3580.0,3568.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,3416.0,3483.0,4569.0,4617.0,Balance Sheet
Accumulated Depreciation,,,,,-852.0,-980.0,-1129.0,-1304.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,2564.0,2503.0,3440.0,3313.0,Balance Sheet
Other Long Term Assets,,,,,341.0,805.0,805.0,805.0,Balance Sheet
Total Assets,,,,,189431.0,149049.0,213502.0,201931.0,Balance Sheet
Accounts Payable,,,,,5150.0,2858.0,5758.0,7135.0,Balance Sheet
Accrued Expenses,,,,,13771.0,8536.0,15317.0,14799.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,0.0,0.0,0.0,945.0,Balance Sheet
Total Current Liabilities,,,,,18921.0,11394.0,21075.0,22879.0,Balance Sheet
Total Long Term Debt,,,,,89671.0,91037.0,190535.0,196728.0,Balance Sheet
Total Debt,,,,,89671.0,91037.0,190535.0,197673.0,Balance Sheet
"Other Liabilities, Total",,,,,8683.0,8583.0,8892.0,8747.0,Balance Sheet
Total Liabilities,,,,,117275.0,111014.0,220502.0,228354.0,Balance Sheet
Common Stock,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,,,601523.0,608067.0,613952.0,645620.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-529370.0,-570035.0,-620955.0,-672046.0,Balance Sheet
Total Equity,,,,,72156.0,38035.0,-7000.0,-26423.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,189431.0,149049.0,213502.0,201931.0,Balance Sheet
