,GEN
% Above Low,0.1486
% Held by Institutions,0.836
52-Wk Range,['20.12 - 30.92']
Annual Dividend $,0.5
Annual Dividend %,0.0216
Ask,23.69
Ask Size,200.0
B/A Ratio,16.0
B/A Size,3200x200
Beta,0.7
Bid,22.62
Bid Size,3200.0
Closing Price,23.11
Day Change $,0.08
Day Change %,0.0034999999999999996
Day High,23.22
Day Low,22.95
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",0.99
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.34700000000000003
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,15.1B
"P/E Ratio (TTM, GAAP)",23.3
Prev Close,23.03
Short Interest,0.0226
Today's Open,23.04
Volume,2808669.0
Volume 10-day Avg,5593320.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.023121387283236983
Growth 1yr High Est,0.04022988505747138
Growth 1yr Consensus Est,0.0085542488871172
Growth 2yr Low Est,0.04761090399151757
Growth 2yr High Est,0.11956245634089036
Growth 2yr Consensus Est,0.08358668016620396
Growth 5yr Low Est,0.10739072086432144
Growth 5yr High Est,0.14915274867170472
Growth 5yr Consensus Est,0.1282717347680131
Growth 5yr Actual/Est,0.24217983405483406
Growth 3yr Historic,0.20381944444444444
Price/Earnings (TTM),23.29778
Price/Sales (TTM),5.35375
Price/Book (MRQ),8.9963
Price/Cash Flow (TTM),20.8419
5yr Low,15.12
5yr High,30.92
5yr Avg Return,-0.0053333333333333375
EPS Growth 5yr,
Revenue Growth 5yr,-0.06999810000000001
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,13783815.0
Short Int Prev Month,16337202.0
Short Int Pct of Float,0.0226011
Days to Cover,2.02859
Float,614.7246
Shares Outstanding,665.57
Institutions Holding Shares,893.0
FCF Growth 5yr,-0.23312943296381475
"Price/Earnings (TTM, GAAP)",23.3
"PEG Ratio (TTM, GAAP)",1.73
Gross Profit Margin (TTM),0.8514
Operating Profit Margin (TTM),0.3223
Net Profit Margin (TTM),0.2057
Annual Dividend Yield,0.0216
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.1856
EPS Growth (MRQ),-0.6498
EPS Growth (TTM),-0.34450000000000003
Revenue Growth (MRQ),0.057999999999999996
Revenue Growth (TTM),0.0684
Return On Equity (TTM),0.8063
Return On Assets (TTM),0.052300000000000006
Return On Investment (TTM),0.0696
Revenue Per Employee (TTM),1064074.0
Total Debt/Total Capital (MRQ),0.8556
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.81
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-07-06 00:00:00
researchTeam since,2020-10-31 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-12-12 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
