,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,16.0,12.22,,,,,
low,10.32,8.12,,,,,
change,-0.1462,0.0179,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,67.0,70.0,87.0,88.0,Balance Sheet
"Trade Accts Recvble, Gross",,,35.0,36.0,36.0,33.0,Balance Sheet
Prov. for Doubtful Accts,,,-2.0,-2.0,-2.0,-2.0,Balance Sheet
"Trade Accts Recvble, Net",,,33.0,34.0,34.0,32.0,Balance Sheet
Other Receivables,,,7.0,8.0,9.0,10.0,Balance Sheet
"Total Receivables, Net",,,40.0,42.0,43.0,42.0,Balance Sheet
Prepaid Expenses,,,14.0,14.0,14.0,14.0,Balance Sheet
Total Current Assets,,,121.0,127.0,143.0,144.0,Balance Sheet
Prop./Plant/Equip. - Net,,,75.0,73.0,71.0,70.0,Balance Sheet
"Goodwill, Net",,,841.0,833.0,810.0,796.0,Balance Sheet
Intangibles - Net,,,8.0,6.0,4.0,10.0,Balance Sheet
Other Long Term Assets,,,9.0,9.0,10.0,10.0,Balance Sheet
Total Assets,,,1056.0,1050.0,1039.0,1031.0,Balance Sheet
Accounts Payable,,,6.0,3.0,4.0,3.0,Balance Sheet
Accrued Expenses,,,34.0,30.0,32.0,40.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,4.0,4.0,4.0,4.0,Balance Sheet
Customer Advances,,,11.0,11.0,11.0,11.0,Balance Sheet
Income Taxes Payable,,,6.0,8.0,7.0,3.0,Balance Sheet
Other Current Liabilities,,,,0.0,,,Balance Sheet
"Other Curr. Lblts, Total",,,17.0,19.0,18.0,14.0,Balance Sheet
Total Current Liabilities,,,61.0,56.0,58.0,59.0,Balance Sheet
Total Long Term Debt,,,335.0,335.0,334.0,334.0,Balance Sheet
Total Debt,,,339.0,338.0,338.0,337.0,Balance Sheet
Deferred Income Tax,,,3.0,3.0,3.0,5.0,Balance Sheet
"Other Liabilities, Total",,,38.0,38.0,37.0,39.0,Balance Sheet
Total Liabilities,,,437.0,432.0,433.0,437.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,603.0,607.0,616.0,626.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,0.0,5.0,10.0,10.0,Balance Sheet
Cum. Trans. Adjustment,,,,6.0,-20.0,-42.0,Balance Sheet
Other Comprehensive Income,,,15.0,,,,Balance Sheet
"Other Equity, Total",,,15.0,6.0,-20.0,-42.0,Balance Sheet
Total Equity,,,618.0,619.0,606.0,594.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1056.0,1050.0,1039.0,1031.0,Balance Sheet
Ttl Comm. Shares Outs.,,,179.0,180.0,180.0,180.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,89503.0,90860.0,91627.0,93527.0,Income Statement
"Cost of Revenue, Total",,,13308.0,14263.0,14169.0,15103.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,51383.0,48683.0,50460.0,49199.0,Income Statement
Research & Development,,,14767.0,15385.0,15241.0,16038.0,Income Statement
Depreciation/Amortization,,,1547.0,1461.0,1460.0,1465.0,Income Statement
Total Operating Expense,,,81005.0,79792.0,81330.0,81805.0,Income Statement
Total Operating Income,,,8498.0,11068.0,10297.0,11722.0,Income Statement
"Inter Expse,Net Non-Operat",,,-4761.0,-3526.0,-3845.0,-5088.0,Income Statement
OtherNon-OperatInc (Expnse),,,201.0,1059.0,175.0,-1795.0,Income Statement
"Other, Net",,,201.0,1059.0,175.0,-1795.0,Income Statement
Income Before Tax,,,3938.0,8601.0,6627.0,4839.0,Income Statement
Income Tax - Total,,,1882.0,3500.0,2300.0,4545.0,Income Statement
Income After Tax,,,2056.0,5101.0,4327.0,294.0,Income Statement
Net Inc Before Extra Items,,,2056.0,5101.0,4327.0,294.0,Income Statement
Total Net Income,,,2056.0,5101.0,4327.0,294.0,Income Statement
Income Available to Common Excl. Extra. Items,,,2056.0,5101.0,4327.0,294.0,Income Statement
Income Available to Common Incl. Extra. Items,,,2056.0,5101.0,4327.0,294.0,Income Statement
Basic/Primary Weighted Average Shares,,,179037.0,179460.0,180034.0,180323.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,0.01,0.03,0.02,0.0,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,0.01,0.03,0.02,0.0,Income Statement
Diluted Weighted Average Shares,,,183865.0,180184.0,180504.0,181145.0,Income Statement
Diluted EPS Excl. Extra. Items,,,0.01,0.03,0.02,0.0,Income Statement
Diluted EPS Incl. Extra. Items,,,0.01,0.03,0.02,0.0,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,4761.0,3526.0,3845.0,5088.0,Income Statement
"Depreciat/Amort, Suppl",,,6169.0,3195.0,3201.0,3326.0,Income Statement
Total Special Items,,,,606.0,1046.0,1182.0,Income Statement
Normalzd Income Before Tax,,,3938.0,9207.0,7673.0,6021.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,247.0,363.0,414.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,1882.0,3747.0,2663.0,4959.0,Income Statement
Normalized Income After Tax,,,2056.0,5460.0,5010.0,1062.0,Income Statement
Normalzd Inc Avail to Common,,,2056.0,5460.0,5010.0,1062.0,Income Statement
Basic Normalized EPS,,,0.01,0.03,0.03,0.01,Income Statement
Diluted Normalized EPS,,,0.01,0.03,0.03,0.01,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,113.0,5101.0,9428.0,9722.0,Cash Flow
Depreciation/Depletion,,,33771.0,6338.0,12233.0,18270.0,Cash Flow
Deferred Taxes,,,-1913.0,480.0,345.0,213.0,Cash Flow
Non-Cash Items,,,33278.0,6872.0,17729.0,29380.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,19029.0,707.0,3829.0,13157.0,Cash Flow
"Cash Interest Pd, Suppl",,,20387.0,3057.0,6183.0,10248.0,Cash Flow
Accounts Receivable,,,-5567.0,-1097.0,-1512.0,278.0,Cash Flow
Prepaid Expenses,,,-10673.0,-59.0,217.0,-397.0,Cash Flow
Other Assets,,,-5768.0,-1159.0,-1772.0,-2321.0,Cash Flow
Accounts Payable,,,-455.0,-2043.0,-839.0,-2437.0,Cash Flow
Accrued Expenses,,,9446.0,-4945.0,-1822.0,3126.0,Cash Flow
Changes in Working Capital,,,-19908.0,-5661.0,-3868.0,-4570.0,Cash Flow
Total Cash from Operations,,,45341.0,13130.0,35867.0,53015.0,Cash Flow
Capital Expenditures,,,-30664.0,-2704.0,-5427.0,-9690.0,Cash Flow
Acquisition of Business,,,0.0,,,-9302.0,Cash Flow
"Intangible, Net",,,-4169.0,-1141.0,-2356.0,-3512.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,-4169.0,-1141.0,-2356.0,-12814.0,Cash Flow
Total Cash from Investing,,,-34833.0,-3845.0,-7783.0,-22504.0,Cash Flow
Financing Cash Flow Items,,,-18820.0,-4553.0,-5543.0,-6353.0,Cash Flow
Sale/Issuance of Common,,,216000.0,,,0.0,Cash Flow
Repurch/Retirement Common,,,-216000.0,,,0.0,Cash Flow
"Common Stock, Net",,,0.0,568.0,568.0,1315.0,Cash Flow
Options Exercised,,,23.0,16.0,27.0,31.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,23.0,584.0,595.0,1346.0,Cash Flow
Long Term Debt Issued,,,350000.0,,,0.0,Cash Flow
Long Term Debt Reduction,,,-373525.0,-875.0,-1750.0,-2625.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,-23525.0,-875.0,-1750.0,-2625.0,Cash Flow
Total Cash From Financing,,,-42322.0,-4844.0,-6698.0,-7632.0,Cash Flow
Foreign Exchange Effects,,,-1240.0,-738.0,-1504.0,-1886.0,Cash Flow
Net Change in Cash,,,-33054.0,3703.0,19882.0,20993.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,99790.0,66736.0,66736.0,66736.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,66736.0,70439.0,86618.0,87729.0,Cash Flow
"Depreciation, Supplemental",,,33771.0,6338.0,12233.0,18270.0,Cash Flow
Free Cash Flow,,,14677.0,10426.0,30440.0,43325.0,
FCF Growth,,,,-0.2896368467670505,1.9196240168808747,0.42329172141918536,
