,NABL
% Below High,0.1075
% Held by Institutions,0.9993000000000001
52-Wk Range,['8.12 - 12.75']
Annual Dividend $,
Annual Dividend %,
Ask,12.5
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,9.41
Bid Size,200.0
Change Since Close,0.01| |(0.09%)
Closing Price,11.38
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.07
Ex-dividend Date,No dividend
Historical Volatility,0.523
Last (size),3.0
Last (time),5:00p ET 11/25/22
Last Trade,11.39
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",174.86
Prev Close,11.38
Short Interest,0.032400000000000005
Today's Open,
Volume,3.0
Volume 10-day Avg,351608.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.09677419354838701
Growth 2yr High Est,0.06060606060606055
Growth 2yr Consensus Est,-0.01808406647116323
Growth 5yr Low Est,-0.09677419354838701
Growth 5yr High Est,0.06060606060606055
Growth 5yr Consensus Est,-0.01808406647116323
Growth 5yr Actual/Est,-0.07410714285714282
Growth 3yr Historic,0.0
Price/Earnings (TTM),174.8617
Price/Sales (TTM),5.62543
Price/Book (MRQ),3.45653
Price/Cash Flow (TTM),53.04794
5yr Low,8.12
5yr High,16.0
5yr Avg Return,-0.06414999999999998
Short Int Current Month,1948754.0
Short Int Prev Month,2153716.0
Short Int Pct of Float,0.0324255
Days to Cover,5.68183
Float,179.5795
Shares Outstanding,180.6846
Institutions Holding Shares,159.0
FCF Growth 5yr,0.6844262971776699
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",174.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8445
Operating Profit Margin (TTM),0.11380000000000001
Net Profit Margin (TTM),0.0322
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.9324
EPS Growth (TTM),1.8531
Revenue Growth (MRQ),0.0207
Revenue Growth (TTM),0.0852
Return On Equity (TTM),0.0194
Return On Assets (TTM),0.011200000000000002
Return On Investment (TTM),0.011899999999999999
Revenue Per Employee (TTM),263911.0
Total Debt/Total Capital (MRQ),0.3622
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.54
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-14 00:00:00
theStreet since,2022-11-14 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
