,NABL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",174.86,54.08,Valuation,3.2333579881656807
Price/Sales (TTM),5.63,9.39,Valuation,0.5995740149094781
Price/Book (MRQ),3.46,12.63,Valuation,0.273950910530483
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.8445,0.7206,Profitability,1.171940049958368
Operating Profit Margin (TTM),0.11380000000000001,0.2172,Profitability,0.5239410681399632
Net Profit Margin (TTM),0.0322,0.1553,Profitability,0.20734063103670317
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.9324,-0.0752,Gowth rates,12.398936170212766
EPS Growth (TTM),1.8531,-0.2824,Gowth rates,-6.561968838526912
Revenue Growth (MRQ),0.0207,0.15560000000000002,Gowth rates,0.13303341902313623
Revenue Growth (TTM),0.0852,0.1906,Gowth rates,0.44700944386149005
Return On Equity (TTM),0.0194,0.2189,Effectiveness,0.08862494289629967
Return On Assets (TTM),0.011200000000000002,0.10740000000000001,Effectiveness,0.1042830540037244
Return On Investment (TTM),0.011899999999999999,0.1387,Effectiveness,0.08579668348954578
Revenue Per Employee (TTM),263911.0,667721.0,Effectiveness,0.39524142568527876
Total Debt/Total Capital (MRQ),0.3622,0.39659999999999995,Financial strength,0.9132627332324762
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0004,Financial strength,0.5
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),2.54,0.28,Financial strength,9.071428571428571
