,OI
% Below High,0.0713
% Held by Institutions,0.9504
52-Wk Range,['10.64 - 17.94']
Annual Dividend $,
Annual Dividend %,
Ask,16.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,12.5
Bid Size,100.0
Change Since Close,0.04| |(0.24%)
Closing Price,16.66
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.91
Ex-dividend Date,No dividend
Historical Volatility,0.479
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,16.7
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.73
Prev Close,16.66
Short Interest,0.0282
Today's Open,
Volume,1.0
Volume 10-day Avg,1371503.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.24719101123595522
Growth 1yr High Est,0.22702702702702693
Growth 1yr Consensus Est,0.23710901913149107
Growth 2yr Low Est,0.06278469480716675
Growth 2yr High Est,0.13113465888796283
Growth 2yr Consensus Est,0.09695967684756479
Growth 5yr Low Est,0.05206979937527198
Growth 5yr High Est,0.08980347750204942
Growth 5yr Consensus Est,0.0709366384386607
Growth 5yr Actual/Est,0.06493950039032007
Growth 3yr Historic,0.011160714285714274
Price/Earnings (TTM),5.73484
Price/Sales (TTM),0.38773
Price/Book (MRQ),2.26967
Price/Cash Flow (TTM),2.69228
5yr Low,4.31
5yr High,24.66
5yr Avg Return,-0.028783333333333338
EPS Growth 5yr,-0.0775996
Revenue Growth 5yr,-0.0105142
Dividend Growth 5yr,
Short Int Current Month,4315273.0
Short Int Prev Month,4505835.0
Short Int Pct of Float,0.028161299999999997
Days to Cover,2.46278
Float,153.2341
Shares Outstanding,155.1376
Institutions Holding Shares,322.0
FCF Growth 5yr,-0.5340589579542117
"Price/Earnings (TTM, GAAP)",5.73
"PEG Ratio (TTM, GAAP)",0.68
Gross Profit Margin (TTM),0.1752
Operating Profit Margin (TTM),0.1383
Net Profit Margin (TTM),0.0767
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.8077
EPS Growth (TTM),0.457
Revenue Growth (MRQ),0.050800000000000005
Revenue Growth (TTM),0.06280000000000001
Return On Equity (TTM),0.5979
Return On Assets (TTM),0.0576
Return On Investment (TTM),0.0727
Revenue Per Employee (TTM),277750.0
Total Debt/Total Capital (MRQ),0.7811
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),1.03
Interest Coverage (MRQ),7.58
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-04-26 00:00:00
cfra since,2019-06-01 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
