,FLWS
% Above Low,0.4227
% Held by Institutions,0.6249
52-Wk Range,['5.82 - 32.92']
Annual Dividend $,
Annual Dividend %,
Ask,8.99
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.7
Bid,8.1
Bid Size,100.0
Closing Price,8.28
Day Change $,-0.1
Day Change %,-0.011899999999999999
Day High,8.42
Day Low,8.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.11
Ex-dividend Date,No dividend
Historical Volatility,0.753
Last (size),16.0
Last (time),1:00p ET 11/25/22
Market Cap,535.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",72.09
Prev Close,8.38
Short Interest,0.1061
Today's Open,8.41
Volume,216222.0
Volume 10-day Avg,630195.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-1.0056497175141244
Growth 1yr High Est,-0.9197860962566845
Growth 1yr Consensus Est,-0.9627179068854044
Growth 2yr Low Est,-6.502824858757062
Growth 2yr High Est,1.773440285204991
Growth 2yr Consensus Est,-2.3646922867760356
Growth 5yr Low Est,-3.015148693114795
Growth 5yr High Est,1.1394083146455063
Growth 5yr Consensus Est,-0.9378701892346443
Growth 5yr Actual/Est,1.248811975591152
Growth 3yr Historic,0.052145308924485184
Price/Earnings (TTM),72.08776
Price/Sales (TTM),0.24301
Price/Book (MRQ),1.11964
Price/Cash Flow (TTM),8.93107
5yr Low,5.82
5yr High,39.61
5yr Avg Return,0.07911666666666667
EPS Growth 5yr,-0.07044310000000001
Revenue Growth 5yr,0.1308935
Dividend Growth 5yr,
Short Int Current Month,2465091.0
Short Int Prev Month,2802703.0
Short Int Pct of Float,0.10613429999999999
Days to Cover,2.43295
Float,23.36239
Shares Outstanding,64.63055
Institutions Holding Shares,184.0
FCF Growth 5yr,2.0507323095702312
"Price/Earnings (TTM, GAAP)",72.09
"PEG Ratio (TTM, GAAP)",3.6
Gross Profit Margin (TTM),0.3622
Operating Profit Margin (TTM),0.0096
Net Profit Margin (TTM),0.0040999999999999995
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5169
EPS Growth (TTM),-0.9335
Revenue Growth (MRQ),-0.37520000000000003
Revenue Growth (TTM),0.0253
Return On Equity (TTM),0.0188
Return On Assets (TTM),0.0079
Return On Investment (TTM),0.0113
Revenue Per Employee (TTM),468535.0
Total Debt/Total Capital (MRQ),0.38450000000000006
Change in Debt/Total Capital Quarter over Quarter,0.0047
Quick Ratio (MRQ),0.29
Interest Coverage (MRQ),-14.66
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-12-02 00:00:00
researchTeam since,2022-09-30 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
