,FFIC
Price/Earnings (TTM),7.60071
Price/Sales (TTM),2.29732
Price/Book (MRQ),0.9244
Price/Cash Flow (TTM),6.78376
5yr Low,8.86
5yr High,29.81
5yr Avg Return,-0.023849999999999993
EPS Growth 5yr,0.0295864
Revenue Growth 5yr,0.054801
Dividend Growth 5yr,0.0431676
Short Int Current Month,487992.0
Short Int Prev Month,520862.0
Short Int Pct of Float,0.0173448
Days to Cover,5.52721
Float,28.22878
Shares Outstanding,29.80545
Institutions Holding Shares,184.0
% Held by Institutions,0.675702
FCF Growth 5yr,-0.004183766529867812
