,FFIC
% Above Low,0.0762
% Held by Institutions,0.6757
52-Wk Range,['19.30 - 25.95']
Annual Dividend $,0.88
Annual Dividend %,0.0424
Ask,21.69
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.7
Bid,8.32
Bid Size,200.0
Closing Price,20.77
Day Change $,-0.01
Day Change %,-0.0005
Day High,20.96
Day Low,20.75
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",2.73
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.24100000000000002
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,619.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.6
Prev Close,20.78
Short Interest,0.0173
Today's Open,20.75
Volume,35967.0
Volume 10-day Avg,83758.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.0
Growth 1yr High Est,-0.02898550724637672
Growth 1yr Consensus Est,-0.01449275362318836
Growth 2yr Low Est,-0.2270992366412214
Growth 2yr High Est,-0.16001514168288988
Growth 2yr Consensus Est,-0.19355718916205564
Growth 5yr Low Est,0.04582538167938929
Growth 5yr High Est,0.10124242915855503
Growth 5yr Consensus Est,0.07353390541897216
Growth 5yr Actual/Est,0.06658884252055583
Growth 3yr Historic,0.14817795042545318
Price/Earnings (TTM),7.60071
Price/Sales (TTM),2.29732
Price/Book (MRQ),0.9244
Price/Cash Flow (TTM),6.78376
5yr Low,8.86
5yr High,29.81
5yr Avg Return,-0.023849999999999993
EPS Growth 5yr,0.0295864
Revenue Growth 5yr,0.054801
Dividend Growth 5yr,0.0431676
Short Int Current Month,487992.0
Short Int Prev Month,520862.0
Short Int Pct of Float,0.0173448
Days to Cover,5.52721
Float,28.22878
Shares Outstanding,29.80545
Institutions Holding Shares,184.0
FCF Growth 5yr,-0.004183766529867812
"Price/Earnings (TTM, GAAP)",7.6
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.42619999999999997
Net Profit Margin (TTM),0.3146
Annual Dividend Yield,0.0424
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.016399999999999998
EPS Growth (MRQ),-0.0563
EPS Growth (TTM),0.2838
Revenue Growth (MRQ),0.1003
Revenue Growth (TTM),0.04650000000000001
Return On Equity (TTM),0.1266
Return On Assets (TTM),0.0102
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0058
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-24 00:00:00
researchTeam since,2022-08-05 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
