,VTOL
% Above Low,0.1527
% Held by Institutions,0.9470000000000001
52-Wk Range,['21.61 - 40.10']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.4
Bid,14.96
Bid Size,
Closing Price,24.91
Day Change $,-0.92
Day Change %,-0.0356
Day High,25.7
Day Low,24.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.56
Ex-dividend Date,No dividend
Historical Volatility,0.48100000000000004
Last (size),180.0
Last (time),7:00p ET 11/28/22
Market Cap,696.2M
"P/E Ratio (TTM, GAAP)",45.74
Prev Close,25.83
Short Interest,0.0128
Today's Open,25.41
Volume,45887.0
Volume 10-day Avg,53307.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.3333333333333335
Growth 2yr High Est,-0.22935779816513768
Growth 2yr Consensus Est,0.5519877675840978
Growth 5yr Low Est,1.3333333333333335
Growth 5yr High Est,-0.22935779816513768
Growth 5yr Consensus Est,0.5519877675840978
Growth 5yr Actual/Est,-0.0006783720024910641
Growth 3yr Historic,-0.28223410576351754
Price/Earnings (TTM),45.7411
Price/Sales (TTM),0.60709
Price/Book (MRQ),0.94075
Price/Cash Flow (TTM),7.56171
5yr Low,10.5
5yr High,42.69
5yr Avg Return,-0.03491666666666666
Short Int Current Month,350778.0
Short Int Prev Month,391028.0
Short Int Pct of Float,0.0128267
Days to Cover,4.37909
Float,27.34747
Shares Outstanding,28.01639
Institutions Holding Shares,173.0
FCF Growth 5yr,-0.9387660244298773
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",45.74
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2175
Operating Profit Margin (TTM),0.0178
Net Profit Margin (TTM),0.013700000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.217
EPS Growth (TTM),1.1468
Revenue Growth (MRQ),0.0183
Revenue Growth (TTM),-0.0111
Return On Equity (TTM),0.0201
Return On Assets (TTM),0.009000000000000001
Return On Investment (TTM),0.010700000000000001
Revenue Per Employee (TTM),408788.0
Total Debt/Total Capital (MRQ),0.3958
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.51
Interest Coverage (MRQ),1.25
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-11-12 00:00:00
theStreet since,2021-08-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
