,VTOL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",45.74,669.05,Valuation,0.06836559300500711
Price/Sales (TTM),0.61,2.16,Valuation,0.2824074074074074
Price/Book (MRQ),0.94,3.21,Valuation,0.29283489096573206
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.2175,0.1895,Profitability,1.1477572559366755
Operating Profit Margin (TTM),0.0178,0.0622,Profitability,0.2861736334405145
Net Profit Margin (TTM),0.013700000000000002,0.011899999999999999,Profitability,1.151260504201681
Annual Dividend Yield,,0.0131,Dividend,
Dividend Change %,,-0.2443,Dividend,
"Dividend Growth Rate, 3 Years",,-0.21420000000000003,Dividend,
EPS Growth (MRQ),3.217,0.659,Gowth rates,4.881638846737481
EPS Growth (TTM),1.1468,-0.1462,Gowth rates,-7.844049247606019
Revenue Growth (MRQ),0.0183,0.3728,Gowth rates,0.049087982832618025
Revenue Growth (TTM),-0.0111,0.2954,Gowth rates,-0.03757616790792147
Return On Equity (TTM),0.0201,0.0775,Effectiveness,0.2593548387096774
Return On Assets (TTM),0.009000000000000001,0.0348,Effectiveness,0.2586206896551725
Return On Investment (TTM),0.010700000000000001,0.1063,Effectiveness,0.1006585136406397
Revenue Per Employee (TTM),408788.0,673709.0,Effectiveness,0.6067723601733093
Total Debt/Total Capital (MRQ),0.3958,0.3983,Financial strength,0.993723324127542
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0006,Financial strength,0.0
Quick Ratio (MRQ),1.51,1.2,Financial strength,1.2583333333333333
Interest Coverage (MRQ),1.25,15.83,Financial strength,0.07896399241945673
