,NOW
% Above Low,0.20829999999999999
% Held by Institutions,0.8862000000000001
52-Wk Range,['337.00 - 679.62']
Annual Dividend $,
Annual Dividend %,
Ask,419.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,398.0
Bid Size,100.0
Change Since Close,-3.70| |(-0.91%)
Closing Price,407.21
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.99
Ex-dividend Date,No dividend
Historical Volatility,0.5670000000000001
Last (size),5.0
Last (time),5:00p ET 11/25/22
Last Trade,403.51
Market Cap,82.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",411.6
Prev Close,407.21
Short Interest,0.0155
Today's Open,
Volume,34.0
Volume 10-day Avg,1501565.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,33.0
Growth 1yr Low Est,0.23760683760683765
Growth 1yr High Est,0.22660098522167482
Growth 1yr Consensus Est,0.23210391141425624
Growth 2yr Low Est,0.2141072862067337
Growth 2yr High Est,0.34422418738995386
Growth 2yr Consensus Est,0.2791657367983438
Growth 5yr Low Est,0.29079800828346225
Growth 5yr High Est,0.34445074354660893
Growth 5yr Consensus Est,0.31762437591503556
Growth 5yr Actual/Est,0.28855233824767373
Growth 3yr Historic,0.16829900595904135
Price/Earnings (TTM),411.6018
Price/Sales (TTM),11.88848
Price/Book (MRQ),18.21911
Price/Cash Flow (TTM),128.1253
5yr Low,112.84
5yr High,707.6
5yr Avg Return,0.29033333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.3348947
Dividend Growth 5yr,
Short Int Current Month,3121855.0
Short Int Prev Month,3377248.0
Short Int Pct of Float,0.015505999999999999
Days to Cover,1.69515
Float,201.3668
Shares Outstanding,202.0
Institutions Holding Shares,1872.0
FCF Growth 5yr,-0.03538999617302848
"Price/Earnings (TTM, GAAP)",411.6
"PEG Ratio (TTM, GAAP)",15.81
Gross Profit Margin (TTM),0.7786
Operating Profit Margin (TTM),0.034
Net Profit Margin (TTM),0.0291
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.9981
EPS Growth (TTM),-0.09230000000000001
Revenue Growth (MRQ),0.0451
Revenue Growth (TTM),0.2509
Return On Equity (TTM),0.0499
Return On Assets (TTM),0.0195
Return On Investment (TTM),0.0325
Revenue Per Employee (TTM),409869.0
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2020-10-23 00:00:00
theStreet since,2022-04-27 00:00:00
cfra since,2021-10-28 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
