,ATRA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),5.59,45.03,Valuation,0.12413946258050187
Price/Book (MRQ),2.12,12.61,Valuation,0.1681205392545599
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-4.2084,-4.7459,Profitability,0.8867443477527972
Net Profit Margin (TTM),-3.4849,-4.5467,Profitability,0.7664679877713506
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-5.529,-0.0014000000000000002,Gowth rates,3949.2857142857138
EPS Growth (TTM),0.3175,0.027200000000000002,Gowth rates,11.672794117647058
Revenue Growth (MRQ),-0.9136,1.3963999999999999,Gowth rates,-0.6542537954740762
Revenue Growth (TTM),4.5425,0.9747,Gowth rates,4.660408330768442
Return On Equity (TTM),-0.9938,0.1967,Effectiveness,-5.05236400610066
Return On Assets (TTM),-0.6039,0.0016,Effectiveness,-377.4375
Return On Investment (TTM),-0.7489,0.0219,Effectiveness,-34.19634703196347
Revenue Per Employee (TTM),122664.0,1476201.0,Effectiveness,0.08309437535945308
Total Debt/Total Capital (MRQ),0.024,0.4675,Financial strength,0.051336898395721926
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
