,ATRA
% Above Low,0.47700000000000004
% Held by Institutions,0.9704
52-Wk Range,['2.83 - 18.61']
Annual Dividend $,
Annual Dividend %,
Ask,4.52
Ask Size,8100.0
B/A Ratio,0.07407407407407407
B/A Size,600x8100
Beta,1.0
Bid,4.0
Bid Size,600.0
Closing Price,4.18
Day Change $,0.01
Day Change %,0.0024
Day High,4.24
Day Low,4.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.47
Ex-dividend Date,No dividend
Historical Volatility,1.266
Last (size),44.0
Last (time),1:00p ET 11/25/22
Market Cap,396.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,4.17
Short Interest,0.1278
Today's Open,4.24
Volume,205096.0
Volume 10-day Avg,1533559.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.567062818336163
Growth 1yr High Est,-0.7269303201506592
Growth 1yr Consensus Est,-0.6469965692434111
Growth 2yr Low Est,-0.2247078797563168
Growth 2yr High Est,-0.2531203324891227
Growth 2yr Consensus Est,-0.23891410612271974
Growth 5yr Low Est,-0.1123539398781584
Growth 5yr High Est,-0.12656016624456135
Growth 5yr Consensus Est,-0.11945705306135987
Growth 5yr Actual/Est,-0.17103737582282522
Growth 3yr Historic,-0.09834470155755295
Price/Earnings (TTM),
Price/Sales (TTM),5.59369
Price/Book (MRQ),2.11954
Price/Cash Flow (TTM),
5yr Low,2.83
5yr High,54.45
5yr Avg Return,-0.010583333333333325
Short Int Current Month,12053638.0
Short Int Prev Month,11920329.0
Short Int Pct of Float,0.1278212
Days to Cover,7.57788
Float,94.27878
Shares Outstanding,94.87867
Institutions Holding Shares,219.0
FCF Growth 5yr,0.18494372452580574
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-4.2084
Net Profit Margin (TTM),-3.4849
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-5.529
EPS Growth (TTM),0.3175
Revenue Growth (MRQ),-0.9136
Revenue Growth (TTM),4.5425
Return On Equity (TTM),-0.9938
Return On Assets (TTM),-0.6039
Return On Investment (TTM),-0.7489
Revenue Per Employee (TTM),122664.0
Total Debt/Total Capital (MRQ),0.024
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2021-01-25 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-06-07 00:00:00
theStreet since,
